player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Umesh Yadav,bowler,148,147,,,,144,29.97,8.49,21.1
Tim Southee,bowler,54,54,,,,47,37.06,8.66,25.6
Sunil Narine,bowler,177,175,,,,180,25.39,6.73,22.6
Varun Chakravarthy,bowler,71,70,,,,83,24.12,7.56,19.1
Shardul Thakur,bowler,95,92,,,,94,30.52,9.22,19.8
