over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • RCB 178/6,RCB won by 4 wickets (with 4 balls remaining),RCB 100%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 1 • PBKS 7/0,Live Forecast: PBKS 174,PBKS 52.34%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 2 • PBKS 9/0,Live Forecast: PBKS 165,RCB 57.69%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 3 • PBKS 21/1,Jonny Bairstow c Kohli b Mohammed Siraj 8 (6b 2x4 0x6 11m) SR: 133.33;W;Live Forecast: PBKS 169,RCB 53.26%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 4 • PBKS 24/1,Live Forecast: PBKS 161,RCB 61.99%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 5 • PBKS 34/1,Live Forecast: PBKS 172,PBKS 50.1%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 6 • PBKS 40/1,Live Forecast: PBKS 165,RCB 57.69%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 7 • PBKS 50/1,Live Forecast: PBKS 180,PBKS 58.99%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 8 • PBKS 61/1,Live Forecast: PBKS 192,PBKS 71.15%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 9 • PBKS 72/2,Prabhsimran Singh c †Anuj Rawat b Maxwell 25 (17b 2x4 2x6 26m) SR: 147.05;W;Live Forecast: PBKS 201,PBKS 78.67%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 10 • PBKS 78/2,Live Forecast: PBKS 192,PBKS 71.15%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 11 • PBKS 92/2,Live Forecast: PBKS 198,PBKS 76.34%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 12 • PBKS 98/3,Liam Livingstone c †Anuj Rawat b Joseph 17 (13b 1x4 1x6 13m) SR: 130.76;W;Live Forecast: PBKS 184,PBKS 63.26%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 13 • PBKS 102/4,Shikhar Dhawan c Kohli b Maxwell 45 (37b 5x4 1x6 54m) SR: 121.62;W;Live Forecast: PBKS 173,PBKS 51.22%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 14 • PBKS 111/4,Live Forecast: PBKS 173,PBKS 51.22%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 15 • PBKS 128/4,Live Forecast: PBKS 183,PBKS 62.21%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
