player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Virat Kohli,batsman,252,244,,8004,6065,,,38.66,131.97
Faf du Plessis (c),batsman,145,138,,4571,3352,,,35.99,136.36
Cameron Green,batsman,29,28,,707,460,,,41.58,153.69
Rajat Patidar,batsman,27,24,,799,503,,,34.73,158.84
Glenn Maxwell,batsman,134,129,,2771,1768,,,24.74,156.73
Anuj Rawat †,batsman,24,21,,318,267,,,19.87,119.10
Dinesh Karthik,batsman,257,234,,4842,3577,,,26.31,135.36
Mahipal Lomror,batsman,40,35,,527,373,,,18.17,141.28
"Alzarri Joseph,",batsman,22,7,,27,32,,,27.00,84.37
"Mayank Dagar,",batsman,8,1,,0,1,,,0.00,0.00
Mohammed Siraj,batsman,93,25,,109,119,,,10.90,91.59
