batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
GT,19,19.1,6,0,1,1,0,Rashid Khan,Hardik,58,52,7,0,Tewatia,20,5,0,3,Ishant Sharma,3.0,0,19,1,Nortje,4.0,0,39,1
GT,18,18.1,21,3,1,0,0,Tewatia,Hardik,53,49,7,0,Tewatia,2,2,0,0,Nortje,3.0,0,18,1,Khaleel Ahmed,4.0,1,24,2
GT,17,17.1,4,0,1,1,0,Hardik,Hardik,51,45,7,0,,0,0,0,0,Khaleel Ahmed,3.0,1,20,2,Kuldeep,4.0,0,15,1
GT,16,16.1,5,0,1,0,0,Manohar,Hardik,49,43,7,0,Manohar,28,29,0,1,Kuldeep,3.0,0,11,1,Nortje,3.0,0,18,1
GT,15,15.1,10,1,1,0,1,Hardik,Hardik,42,39,6,0,Manohar,25,26,0,1,Nortje,2.0,0,9,1,Axar Patel,4.0,0,24,0
GT,14,14.1,8,1,1,0,0,Manohar,Hardik,36,36,5,0,Manohar,22,24,0,1,Axar Patel,3.0,0,16,0,Khaleel Ahmed,3.0,1,20,1
GT,13,13.1,8,1,1,0,0,Hardik,Hardik,30,32,4,0,Manohar,21,22,0,1,Khaleel Ahmed,2.0,1,13,1,Axar Patel,3.0,0,16,0
GT,12,12.1,4,0,2,0,0,Hardik,Hardik,29,29,4,0,Manohar,18,19,0,1,Axar Patel,2.0,0,13,0,Kuldeep,3.0,0,10,1
GT,11,11.1,4,0,2,0,0,Hardik,Hardik,26,24,4,0,Manohar,17,18,0,1,Kuldeep,2.0,0,7,1,Ishant Sharma,3.0,0,17,1
GT,10,10.1,6,0,2,0,1,Manohar,Hardik,24,21,4,0,Manohar,13,15,0,1,Ishant Sharma,2.0,0,12,1,Axar Patel,2.0,0,12,0
GT,9,9.1,10,1,3,0,1,Hardik,Hardik,22,18,4,0,Manohar,10,12,0,1,Axar Patel,1.0,0,8,0,Kuldeep,2.0,0,6,1
GT,8,8.1,4,0,2,0,0,Manohar,Hardik,21,17,4,0,Manohar,2,7,0,0,Kuldeep,1.0,0,3,1,Axar Patel,1.0,0,2,0
GT,7,7.1,2,0,4,0,0,Manohar,Hardik,19,15,4,0,Manohar,1,3,0,0,Axar Patel,0,0,0,0,Kuldeep,1.0,0,2,1
GT,6,6.1,2,0,3,1,0,Manohar,Hardik,18,14,4,0,Miller,0,1,0,0,Kuldeep,0,0,0,0,Nortje,2.0,0,8,1
GT,5,5.1,5,1,4,0,0,Miller,Hardik,13,9,3,0,,0,0,0,0,Nortje,1.0,0,3,1,Ishant Sharma,2.0,0,11,1
GT,4,4.1,5,1,3,1,0,Shankar,Hardik,12,7,3,0,Shankar,3,5,0,0,Ishant Sharma,1.0,0,6,0,Nortje,1.0,0,3,1
GT,3,3.1,3,0,4,1,1,Shankar,Hardik,12,6,3,0,,0,0,0,0,Nortje,0,0,0,1,Khaleel Ahmed,2.0,1,12,1
GT,2,2.1,12,3,3,0,0,Hardik,Gill,6,6,1,0,Hardik,0,1,0,0,Khaleel Ahmed,1.0,1,0,1,Ishant Sharma,1.0,0,6,0
GT,1,1.1,6,1,4,0,0,Gill,Gill,0,1,0,0,,0,0,0,0,Ishant Sharma,0,0,0,0,Khaleel Ahmed,1.0,1,0,1
GT,0,0.1,0,0,5,1,0,Saha,Saha,0,1,0,0,,0,0,0,0,Khaleel Ahmed,0,0,0,0,,0,0,0,0
