player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Bhuvneshwar Kumar,bowler,176,176,,,,181,27.23,7.56,21.6
Washington Sundar,bowler,60,58,,,,37,35.81,7.54,28.4
Fazalhaq Farooqi,bowler,7,7,,,,6,37.83,8.96,25.3
Aiden Markram,bowler,44,14,,,,2,86.00,8.52,60.5
Adil Rashid,bowler,3,3,,,,2,45.50,9.10,30.0
T Natarajan,bowler,61,61,,,,67,29.38,8.83,19.9
Umran Malik,bowler,26,26,,,,29,26.62,9.39,17.0
