player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Manimaran Siddharth,bowler,3,3,,,,1,71.00,7.88,54.0
Naveen-ul-Haq,bowler,18,17,,,,25,23.64,9.16,15.4
Mohsin Khan,bowler,24,23,,,,27,25.51,8.50,18.0
Krunal Pandya,bowler,127,117,,,,76,34.28,7.36,27.9
Ravi Bishnoi,bowler,66,65,,,,63,29.14,7.80,22.3
Mayank Yadav,bowler,4,4,,,,7,12.14,6.98,10.4
