Phase,Avg_Prob_0.35,Actual_Rate_0.35,Cal_Error_0.35,Avg_Prob_0.5,Actual_Rate_0.5,Cal_Error_0.5,Market_Prob_0.35,Market_Cal_Error_0.35,Market_Prob_0.5,Market_Cal_Error_0.5,Cal_Error_Diff,Market_Model_Diff_0.35,Count_0.35,Count_0.5
Overall,0.7134304180567586,0.7111383108935129,0.0022921071632456824,0.7468117577683089,0.7346938775510204,0.012117880217288435,0.6748722926829267,0.03626601821058617,0.6981289753947851,0.03656490215623531,0.009825773054042752,0.03397391104734049,3268,2891
Powerplay,0.6927737555808096,0.6383763837638377,0.05439737181697191,0.7240544705189577,0.6686192468619246,0.05543522365703302,0.5948622431506849,0.04351414061315273,0.6155400774443369,0.053079169417587724,0.0010378518400611103,-0.010883231203819177,1355,1195
Middle,0.7232437143896481,0.7455452601568069,0.022301545767158815,0.7570351819206532,0.7616372391653291,0.004602057244675883,0.7208453314326443,0.0246999287241626,0.7442577046548957,0.017379534510433392,-0.01769948852248293,0.0023983829570037862,1403,1246
Death,0.7413161492329685,0.8098039215686275,0.06848777233565895,0.7789374728108721,0.8355555555555556,0.056618082744683496,0.7323158730158731,0.07748804855275437,0.760827027027027,0.07472852852852863,-0.011869689590975452,0.009000276217095426,510,450
