Phase,Actual_Win_Rate,Model_Prob,Market_Prob,Model_Cal_Error,Market_Cal_Error,Model_Market_Diff,Default_Accuracy,Optimal_Accuracy,Accuracy_Gain,Sample_Count
Overall,0.4942703067071116,0.48185372430064033,0.4878008351101635,0.012416582406471255,0.0064694715969481065,-0.005947110809523148,0.7318840579710145,0.7334007414897202,0.0015166835187057082,5934
Powerplay,0.5009596928982726,0.5280038387715932,0.48042006726457404,0.027044145873320602,0.020539625633698544,0.047583771507019146,0.6775431861804223,0.6626679462571977,-0.014875239923224592,2084
Middle,0.5031847133757962,0.46860621955788684,0.5107181715998501,0.03457849381790934,0.007533458224053935,-0.042111952041963274,0.744473585612589,0.7497189958786062,0.005245410266017214,2669
Death,0.4623200677392041,0.4303556308213379,0.4469505531914893,0.03196443691786621,0.015369514547714791,-0.01659492237015142,0.7993226079593565,0.821337849280271,0.02201524132091448,1181
