Phase,Model_Avg,Market_Avg,Actual_Win_Rate,Total_Bets,Value_Opportunities,Value_Success_Rate,Avg_Value_Diff,PnL
Overall,0.6794471702222772,0.6510220790629574,0.6825919824272377,3642,1944,0.5920781893004116,0.16583795843097632,0.18415637860082312
Powerplay,0.6565434141486161,0.5675955133079847,0.6041666666666666,1536,908,0.552863436123348,0.18775357643293691,0.10572687224669597
Middle,0.6907805863150919,0.6968781149128469,0.7211103938024532,1549,739,0.5994587280108254,0.1468874746408497,0.1989174560216509
Death,0.7110893745335409,0.7212125226860254,0.7917414721723519,557,297,0.6936026936026936,0.14598956238762065,0.3872053872053871
