player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Abhishek Sharma,batsman,63,61,,1377,887,,,25.50,155.24
Mayank Agarawal,batsman,127,121,,2661,2000,,,22.74,133.05
Rahul Tripathi,batsman,95,93,,2236,1605,,,27.26,139.31
Aiden Markram (c),batsman,44,42,,995,767,,,30.15,129.72
Harry Brook,batsman,11,11,,190,154,,,21.11,123.37
Heinrich Klaasen †,batsman,35,32,,993,590,,,38.19,168.30
Abdul Samad,batsman,50,40,,577,395,,,19.23,146.07
Marco Jansen,batsman,21,13,,66,66,,,9.42,100.00
Bhuvneshwar Kumar,batsman,176,68,,306,326,,,8.74,93.86
Mayank Markande,batsman,37,11,,48,42,,,16.00,114.28
Kartik Tyagi,batsman,20,7,,13,16,,,3.25,81.25
