over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 19 • RR 183/1,RR won by 9 wickets (with 8 balls remaining),RR 100%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 1 • MI 6/1,Rohit Sharma c †Samson b Boult 6 (5b 1x4 0x6 4m) SR: 120;W;Live Forecast: MI 174,MI 51.51%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 2 • MI 9/2,Ishan Kishan c †Samson b Sandeep Sharma 0 (3b 0x4 0x6 9m) SR: 0;W;Live Forecast: MI 166,RR 57.39%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 3 • MI 20/2,Live Forecast: MI 169,RR 54.08%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 4 • MI 21/3,Suryakumar Yadav c Powell b Sandeep Sharma 10 (8b 2x4 0x6 15m) SR: 125;W;Live Forecast: MI 157,RR 66.79%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 5 • MI 27/3,Live Forecast: MI 160,RR 63.76%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 6 • MI 45/3,Live Forecast: MI 174,MI 51.51%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 7 • MI 50/3,Live Forecast: MI 177,MI 54.86%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 8 • MI 56/4,Mohammad Nabi c & b Chahal 23 (17b 2x4 1x6 20m) SR: 135.29;W;Live Forecast: MI 178,MI 55.97%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 9 • MI 66/4,Live Forecast: MI 170,RR 52.97%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 10 • MI 72/4,Live Forecast: MI 170,RR 52.97%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 11 • MI 82/4,Live Forecast: MI 173,MI 50.39%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 12 • MI 95/4,Live Forecast: MI 180,MI 58.17%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 13 • MI 101/4,Live Forecast: MI 177,MI 54.86%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 14 • MI 120/4,Live Forecast: MI 190,MI 68.53%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 15 • MI 131/4,Live Forecast: MI 189,MI 67.55%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 16 • MI 151/4,Live Forecast: MI 201,MI 78.07%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 17 • MI 161/5,Nehal Wadhera c Sandeep Sharma b Boult 49 (24b 3x4 4x6 36m) SR: 204.16;W;Live Forecast: MI 194,MI 72.26%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 18 • MI 170/5,Live Forecast: MI 193,MI 71.35%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 19 • MI 176/6,Hardik Pandya lbw b Avesh Khan 10 (10b 1x4 0x6 11m) SR: 100;W;Live Forecast: MI 189,MI 67.55%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 20 • MI 179/9,Tilak Varma c Powell b Sandeep Sharma 65 (45b 5x4 3x6 85m) SR: 144.44;W;Gerald Coetzee c Hetmyer b Sandeep Sharma 0 (1b 0x4 0x6 1m) SR: 0;W;Tim David c Parag b Sandeep Sharma 3 (5b 0x4 0x6 10m) SR: 60;W;Live Forecast: MI 179,MI 57.07%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 1 • RR 11/0,RR needed 169 runs from 114 balls,MI 52.19%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 2 • RR 13/0,RR needed 167 runs from 108 balls,MI 56.44%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 3 • RR 19/0,RR needed 161 runs from 102 balls,MI 58.97%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 4 • RR 35/0,RR needed 145 runs from 96 balls,MI 50.36%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 5 • RR 44/0,RR needed 136 runs from 90 balls,RR 62.41%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 6 • RR 61/0,RR needed 119 runs from 84 balls,RR 80.92%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
Over 7 • RR 68/0,RR needed 112 runs from 78 balls,RR 85.9%,"Sawai Mansingh Stadium, Jaipur",127,36943,1514,28859,24.40,7.68
