over,innings,score,projected_score,required,CRR,RRR,fav_team,win_probability,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
20,PBKS,183/10,N/A,N/A,9.15,N/A,MI,100.0,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
1,MI,7/0,179,N/A,7.00,N/A,MI,54.59,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
2,MI,18/0,183,N/A,9.00,N/A,MI,58.98,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
3,MI,27/1,182,N/A,9.00,N/A,MI,57.89,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
4,MI,36/1,190,N/A,9.00,N/A,MI,66.31,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
5,MI,43/1,186,N/A,8.60,N/A,MI,62.19,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
6,MI,54/1,188,N/A,9.00,N/A,MI,64.28,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
7,MI,58/1,180,N/A,8.29,N/A,MI,55.69,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
8,MI,68/1,183,N/A,8.50,N/A,MI,58.98,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
9,MI,77/1,192,N/A,8.56,N/A,MI,68.29,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
10,MI,86/1,196,N/A,8.60,N/A,MI,72.05,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
11,MI,96/1,200,N/A,8.73,N/A,MI,75.52,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
12,MI,101/2,191,N/A,8.42,N/A,MI,67.31,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
13,MI,109/2,186,N/A,8.38,N/A,MI,62.19,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
14,MI,115/2,178,N/A,8.21,N/A,MI,53.48,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
15,MI,130/2,187,N/A,8.67,N/A,MI,63.24,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
16,MI,148/2,195,N/A,9.25,N/A,MI,71.14,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
17,MI,156/3,193,N/A,9.18,N/A,MI,69.26,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
18,MI,167/4,191,N/A,9.28,N/A,MI,67.31,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
19,MI,185/4,199,N/A,9.74,N/A,MI,74.68,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
20,MI,192/7,192,N/A,9.60,N/A,MI,68.29,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
