player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Virat Kohli,batsman,252,244,,8004,6065,,,38.66,131.97
Faf du Plessis (c),batsman,145,138,,4571,3352,,,35.99,136.36
Rajat Patidar,batsman,27,24,,799,503,,,34.73,158.84
Cameron Green,batsman,29,28,,707,460,,,41.58,153.69
Dinesh Karthik †,batsman,257,234,,4842,3577,,,26.31,135.36
Glenn Maxwell,batsman,134,129,,2771,1768,,,24.74,156.73
Mahipal Lomror,batsman,40,35,,527,373,,,18.17,141.28
"Yash Dayal,",batsman,28,1,,0,1,,,0.00,0.00
"Karn Sharma,",batsman,84,40,,351,294,,,13.50,119.38
"Mohammed Siraj,",batsman,93,25,,109,119,,,10.90,91.59
Lockie Ferguson,batsman,45,10,,68,46,,,22.66,147.82
