batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
LSG,16,16.1,0,0,0,1,0,Ravi Bishnoi,,0,0,0,0,,0,0,0,0,Harshit Rana,3.0,0,24,3,Varun,2.0,0,30,3
LSG,15,15.6,0,0,0,1,0,Yudhvir Singh,Ravi Bishnoi,2,2,0,0,,0,0,0,0,Varun,2.0,0,30,3,Harshit Rana,3.0,0,24,2
LSG,15,15.5,0,0,1,0,0,Yudhvir Singh,Yudhvir Singh,7,5,0,1,Ravi Bishnoi,2,2,0,0,Varun,2.0,0,30,2,Harshit Rana,3.0,0,24,2
LSG,15,15.4,6,1,0,0,0,Yudhvir Singh,Yudhvir Singh,7,4,0,1,Ravi Bishnoi,2,2,0,0,Varun,2.0,0,30,2,Harshit Rana,3.0,0,24,2
LSG,15,15.2,0,0,1,0,0,Yudhvir Singh,Yudhvir Singh,1,3,0,0,Ravi Bishnoi,2,2,0,0,Varun,2.0,0,24,2,Harshit Rana,3.0,0,24,2
LSG,15,15.1,1,0,0,0,0,Ravi Bishnoi,Yudhvir Singh,1,2,0,0,Ravi Bishnoi,2,2,0,0,Varun,2.0,0,24,2,Harshit Rana,3.0,0,24,2
LSG,14,14.6,0,0,1,0,0,Yudhvir Singh,Yudhvir Singh,1,2,0,0,Ravi Bishnoi,1,1,0,0,Harshit Rana,3.0,0,24,2,Varun,2.0,0,23,2
LSG,14,14.5,1,0,0,0,0,Ravi Bishnoi,Yudhvir Singh,1,1,0,0,Ravi Bishnoi,1,1,0,0,Harshit Rana,2.0,0,24,2,Varun,2.0,0,23,2
LSG,14,14.4,0,0,0,1,0,Krunal,Yudhvir Singh,1,1,0,0,,0,0,0,0,Harshit Rana,2.0,0,23,2,Varun,2.0,0,23,2
LSG,14,14.3,2,0,0,0,0,Krunal,Krunal,5,5,0,0,Yudhvir Singh,1,1,0,0,Harshit Rana,2.0,0,23,1,Varun,2.0,0,23,2
LSG,14,14.2,1,0,0,0,0,Yudhvir Singh,Krunal,3,4,0,0,Yudhvir Singh,1,1,0,0,Harshit Rana,2.0,0,21,1,Varun,2.0,0,23,2
LSG,14,14.1,1,0,0,0,0,Krunal,Krunal,3,4,0,0,,0,0,0,0,Harshit Rana,2.0,0,20,1,Varun,2.0,0,23,2
LSG,13,13.6,0,0,0,1,0,Turner,Krunal,2,3,0,0,,0,0,0,0,Varun,2.0,0,23,2,Narine,4.0,0,22,1
LSG,13,13.5,6,1,0,0,0,Turner,Turner,19,8,0,2,Krunal,2,3,0,0,Varun,1.0,0,23,1,Narine,4.0,0,22,1
LSG,13,13.4,1,0,0,0,0,Krunal,Turner,13,7,0,1,Krunal,2,3,0,0,Varun,1.0,0,17,1,Narine,4.0,0,22,1
LSG,13,13.3,0,0,1,0,0,Krunal,Turner,13,7,0,1,Krunal,1,2,0,0,Varun,1.0,0,16,1,Narine,4.0,0,22,1
LSG,13,13.2,1,0,0,0,0,Turner,Turner,13,7,0,1,Krunal,1,1,0,0,Varun,1.0,0,16,1,Narine,4.0,0,22,1
LSG,13,13.1,6,1,0,0,0,Turner,Turner,12,6,0,1,Krunal,1,1,0,0,Varun,1.0,0,15,1,Narine,4.0,0,22,1
LSG,12,12.6,1,0,0,0,0,Turner,Turner,6,5,0,0,Krunal,1,1,0,0,Narine,4.0,0,22,1,Russell,2.0,0,17,2
LSG,12,12.5,0,0,1,0,0,Turner,Turner,5,4,0,0,Krunal,1,1,0,0,Narine,3.0,0,21,1,Russell,2.0,0,17,2
LSG,12,12.4,1,0,0,0,0,Krunal,Turner,5,3,0,0,Krunal,1,1,0,0,Narine,3.0,0,21,1,Russell,2.0,0,17,2
LSG,12,12.3,0,0,0,1,0,Badoni,Turner,5,3,0,0,,0,0,0,0,Narine,3.0,0,20,1,Russell,2.0,0,17,2
LSG,12,12.2,1,0,0,0,0,Turner,Badoni,16,11,0,1,Turner,5,3,0,0,Narine,3.0,0,20,0,Russell,2.0,0,17,2
LSG,12,12.1,1,0,0,0,0,Badoni,Badoni,16,11,0,1,Turner,4,2,0,0,Narine,3.0,0,19,0,Russell,2.0,0,17,2
LSG,11,11.6,1,0,0,0,0,Badoni,Badoni,15,10,0,1,Turner,4,2,0,0,Russell,2.0,0,17,2,Narine,3.0,0,18,0
LSG,11,11.5,1,0,0,0,1,Turner,Badoni,14,9,0,1,Turner,4,2,0,0,Russell,1.0,0,16,2,Narine,3.0,0,18,0
LSG,11,11.5,1,0,0,0,1,Turner,Badoni,14,9,0,1,Turner,3,1,0,0,Russell,1.0,0,16,2,Narine,3.0,0,18,0
LSG,11,11.5,1,0,0,0,1,Turner,Badoni,14,9,0,1,Turner,2,1,0,0,Russell,1.0,0,15,2,Narine,3.0,0,18,0
LSG,11,11.4,1,0,0,0,0,Badoni,Badoni,14,9,0,1,Turner,1,1,0,0,Russell,1.0,0,14,2,Narine,3.0,0,18,0
LSG,11,11.3,1,0,0,0,0,Turner,Badoni,13,8,0,1,Turner,1,1,0,0,Russell,1.0,0,13,2,Narine,3.0,0,18,0
LSG,11,11.2,0,0,0,1,0,Pooran,Badoni,13,8,0,1,,0,0,0,0,Russell,1.0,0,12,2,Narine,3.0,0,18,0
LSG,11,11.1,1,0,0,0,0,Badoni,Pooran,10,7,0,1,Badoni,13,8,0,1,Russell,1.0,0,12,1,Narine,3.0,0,18,0
LSG,10,10.6,1,0,0,0,0,Badoni,Pooran,10,7,0,1,Badoni,12,7,0,1,Narine,3.0,0,18,0,Russell,1.0,0,11,1
LSG,10,10.5,0,0,1,0,0,Badoni,Pooran,10,7,0,1,Badoni,11,6,0,1,Narine,2.0,0,17,0,Russell,1.0,0,11,1
