over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 17 • LSG 137/10,Ravi Bishnoi lbw b Harshit Rana 2 (3b 0x4 0x6 2m) SR: 66.66;W;KKR won by 98 runs,KKR 100%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 1 • KKR 10/0,Live Forecast: KKR 183,KKR 59.4%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 2 • KKR 18/0,Live Forecast: KKR 181,KKR 57.23%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 3 • KKR 37/0,Live Forecast: KKR 195,KKR 71.41%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 4 • KKR 57/0,Live Forecast: KKR 216,KKR 86.38%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 5 • KKR 68/1,Phil Salt c †Rahul b Naveen-ul-Haq 32 (14b 5x4 1x6 23m) SR: 228.57;W;Live Forecast: KKR 228,KKR 91.48%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 6 • KKR 70/1,Live Forecast: KKR 209,KKR 82.32%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 7 • KKR 81/1,Live Forecast: KKR 203,KKR 78.1%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 8 • KKR 86/1,Live Forecast: KKR 199,KKR 74.91%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 9 • KKR 100/1,Live Forecast: KKR 209,KKR 82.32%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 10 • KKR 110/1,Live Forecast: KKR 214,KKR 85.31%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
