batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
DC,17,17.2,0,0,0,1,0,Nortje,Ishant Sharma,1,3,0,0,,0,0,0,0,Russell,1.0,0,14,1,Arora,4.0,0,27,3
DC,17,17.1,0,0,1,0,0,Nortje,Nortje,5,5,0,0,Ishant Sharma,1,3,0,0,Russell,1.0,0,14,0,Arora,4.0,0,27,3
DC,16,16.6,1,0,0,0,0,Nortje,Nortje,5,4,0,0,Ishant Sharma,1,3,0,0,Arora,4.0,0,27,3,Narine,4.0,0,29,1
DC,16,16.5,2,0,0,0,0,Nortje,Nortje,4,3,0,0,Ishant Sharma,1,3,0,0,Arora,3.0,0,26,3,Narine,4.0,0,29,1
DC,16,16.5,1,0,0,0,1,Nortje,Nortje,2,2,0,0,Ishant Sharma,1,3,0,0,Arora,3.0,0,24,3,Narine,4.0,0,29,1
DC,16,16.4,1,0,0,0,0,Ishant Sharma,Nortje,1,2,0,0,Ishant Sharma,1,3,0,0,Arora,3.0,0,23,3,Narine,4.0,0,29,1
DC,16,16.3,0,0,1,0,0,Ishant Sharma,Nortje,1,2,0,0,Ishant Sharma,0,2,0,0,Arora,3.0,0,22,3,Narine,4.0,0,29,1
DC,16,16.2,0,0,1,0,0,Ishant Sharma,Nortje,1,2,0,0,Ishant Sharma,0,1,0,0,Arora,3.0,0,22,3,Narine,4.0,0,29,1
DC,16,16.1,0,0,0,1,0,Rasikh Salam,Nortje,1,2,0,0,,0,0,0,0,Arora,3.0,0,22,3,Narine,4.0,0,29,1
DC,15,15.6,1,0,0,0,0,Rasikh Salam,Rasikh Salam,1,4,0,0,Nortje,1,2,0,0,Narine,4.0,0,29,1,Varun,4.0,0,32,3
DC,15,15.5,0,0,1,0,0,Rasikh Salam,Rasikh Salam,0,3,0,0,Nortje,1,2,0,0,Narine,3.0,0,28,1,Varun,4.0,0,32,3
DC,15,15.4,0,0,1,0,0,Rasikh Salam,Rasikh Salam,0,2,0,0,Nortje,1,2,0,0,Narine,3.0,0,28,1,Varun,4.0,0,32,3
DC,15,15.3,1,0,0,0,0,Nortje,Rasikh Salam,0,1,0,0,Nortje,1,2,0,0,Narine,3.0,0,28,1,Varun,4.0,0,32,3
DC,15,15.2,0,0,1,0,0,Nortje,Rasikh Salam,0,1,0,0,Nortje,0,1,0,0,Narine,3.0,0,27,1,Varun,4.0,0,32,3
DC,15,15.1,0,0,0,1,0,Sumit Kumar,Rasikh Salam,0,1,0,0,,0,0,0,0,Narine,3.0,0,27,1,Varun,4.0,0,32,3
DC,14,14.6,0,0,1,0,0,Rasikh Salam,Sumit Kumar,9,5,0,1,Rasikh Salam,0,1,0,0,Varun,4.0,0,32,3,Narine,3.0,0,27,0
DC,14,14.5,0,0,0,1,0,Stubbs,Sumit Kumar,9,5,0,1,,0,0,0,0,Varun,4.0,0,32,3,Narine,3.0,0,27,0
DC,14,14.4,4,1,0,0,0,Stubbs,Stubbs,61,31,4,4,Sumit Kumar,9,5,0,1,Varun,3.0,0,32,2,Narine,3.0,0,27,0
DC,14,14.3,0,0,1,0,0,Stubbs,Stubbs,57,30,3,4,Sumit Kumar,9,5,0,1,Varun,3.0,0,28,2,Narine,3.0,0,27,0
DC,14,14.3,5,0,0,0,1,Stubbs,Stubbs,57,29,3,4,Sumit Kumar,9,5,0,1,Varun,3.0,0,28,2,Narine,3.0,0,27,0
DC,14,14.2,1,0,0,0,1,Sumit Kumar,Stubbs,52,28,3,4,Sumit Kumar,9,5,0,1,Varun,3.0,0,28,2,Narine,3.0,0,27,0
DC,14,14.1,1,0,0,0,0,Stubbs,Stubbs,52,28,3,4,Sumit Kumar,8,4,0,1,Varun,3.0,0,28,2,Narine,3.0,0,27,0
DC,13,13.6,6,1,0,0,0,Sumit Kumar,Stubbs,51,27,3,4,Sumit Kumar,8,4,0,1,Narine,3.0,0,27,0,Varun,3.0,0,27,2
DC,13,13.5,0,0,1,0,0,Sumit Kumar,Stubbs,51,27,3,4,Sumit Kumar,2,3,0,0,Narine,2.0,0,21,0,Varun,3.0,0,27,2
DC,13,13.4,1,0,0,0,0,Stubbs,Stubbs,51,27,3,4,Sumit Kumar,2,2,0,0,Narine,2.0,0,21,0,Varun,3.0,0,27,2
DC,13,13.3,6,1,0,0,0,Stubbs,Stubbs,50,26,3,4,Sumit Kumar,2,2,0,0,Narine,2.0,0,20,0,Varun,3.0,0,27,2
DC,13,13.2,6,1,0,0,0,Stubbs,Stubbs,44,25,3,3,Sumit Kumar,2,2,0,0,Narine,2.0,0,14,0,Varun,3.0,0,27,2
