player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Abhishek Sharma,batsman,63,61,,1377,887,,,25.50,155.24
Rahul Tripathi,batsman,95,93,,2236,1605,,,27.26,139.31
Aiden Markram (c),batsman,44,42,,995,767,,,30.15,129.72
Heinrich Klaasen †,batsman,35,32,,993,590,,,38.19,168.30
Harry Brook,batsman,11,11,,190,154,,,21.11,123.37
Glenn Phillips,batsman,8,8,,65,55,,,9.28,118.18
"Abdul Samad,",batsman,50,40,,577,395,,,19.23,146.07
"Bhuvneshwar Kumar,",batsman,176,68,,306,326,,,8.74,93.86
"Kartik Tyagi,",batsman,20,7,,13,16,,,3.25,81.25
"Mayank Dagar,",batsman,8,1,,0,1,,,0.00,0.00
Nitish Kumar Reddy,batsman,15,11,,303,212,,,33.66,142.92
