over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • SRH 171/8,RCB won by 35 runs,RCB 100%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 1 • RCB 10/0,Live Forecast: RCB 187,RCB 54.52%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 2 • RCB 24/0,Live Forecast: RCB 195,RCB 62.89%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 3 • RCB 43/0,Live Forecast: RCB 211,RCB 77.5%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 4 • RCB 49/1,Faf du Plessis c Markram b Natarajan 25 (12b 3x4 1x6 17m) SR: 208.33;W;Live Forecast: RCB 214,RCB 79.77%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 5 • RCB 51/1,Live Forecast: RCB 198,RCB 65.9%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 6 • RCB 61/1,Live Forecast: RCB 196,RCB 63.9%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 7 • RCB 65/2,Will Jacks b Markande 6 (9b 0x4 0x6 11m) SR: 66.66;W;Live Forecast: RCB 191,RCB 58.75%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 8 • RCB 73/2,Live Forecast: RCB 191,RCB 58.75%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 9 • RCB 84/2,Live Forecast: RCB 194,RCB 61.86%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 10 • RCB 94/2,Live Forecast: RCB 202,RCB 69.75%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 11 • RCB 121/2,Live Forecast: RCB 244,RCB 93.89%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 12 • RCB 127/2,Live Forecast: RCB 236,RCB 91.44%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 13 • RCB 132/3,Rajat Patidar c Abdul Samad b Unadkat 50 (20b 2x4 5x6 21m) SR: 250;W;Live Forecast: RCB 217,RCB 81.86%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 14 • RCB 136/3,Live Forecast: RCB 199,RCB 66.88%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 15 • RCB 142/4,Virat Kohli c Abdul Samad b Unadkat 51 (43b 4x4 1x6 60m) SR: 118.6;W;Live Forecast: RCB 192,RCB 59.79%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 16 • RCB 157/4,Live Forecast: RCB 199,RCB 66.88%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 17 • RCB 167/5,Mahipal Lomror c Cummins b Unadkat 7 (4b 1x4 0x6 9m) SR: 175;W;Live Forecast: RCB 202,RCB 69.75%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 18 • RCB 179/5,Live Forecast: RCB 202,RCB 69.75%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 19 • RCB 194/6,Dinesh Karthik c Abdul Samad b Cummins 11 (6b 2x4 0x6 13m) SR: 183.33;W;Live Forecast: RCB 205,RCB 72.48%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 20 • RCB 206/7,Swapnil Singh c Abhishek Sharma b Natarajan 12 (6b 1x4 1x6 7m) SR: 200;W;Live Forecast: RCB 206,RCB 73.36%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 1 • SRH 3/1,Travis Head c Sharma b Jacks 1 (3b 0x4 0x6 3m) SR: 33.33;W;SRH needed 204 runs from 114 balls,RCB 82.3%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 2 • SRH 11/1,SRH needed 196 runs from 108 balls,RCB 83.08%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 3 • SRH 31/1,SRH needed 176 runs from 102 balls,RCB 72.87%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 4 • SRH 37/2,Abhishek Sharma c †Karthik b Yash Dayal 31 (13b 3x4 2x6 17m) SR: 238.46;W;SRH needed 170 runs from 96 balls,RCB 78.45%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
