innings_num,batting_team,over_number,ball_number,total_score,total_wickets,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,SRH,4,6,54,2,0,0,0,0,SRH,59.4,10.8,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,10,6,1,0,Travis Head,35,18,4,2,Digvesh Rathi,0.6,0,9,0,Avesh Khan,2.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,15.5,7.75,12.0,26.72,8.92,17.9,9.0,2.0,1,0,0,216,0,0.83
1,SRH,5,1,55,2,0,0,0,0,SRH,59.48,10.64,0,Travis Head,,field first,Travis Head,36,19,4,2,Nitish Kumar Reddy,10,6,1,0,Ravi Bishnoi,0.1,0,1,0,Digvesh Rathi,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,29.06,7.89,22.0,15.5,7.75,12.0,9.0,2.0,1,0,0,213,0,0.83
1,SRH,5,2,56,2,0,0,0,0,SRH,58.55,10.5,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,11,7,1,0,Travis Head,36,19,4,2,Ravi Bishnoi,0.2,0,2,0,Digvesh Rathi,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,29.06,7.89,22.0,15.5,7.75,12.0,9.0,2.0,1,0,0,210,0,0.85
1,SRH,5,3,62,2,1,0,0,0,SRH,57.62,11.27,0,Travis Head,,field first,Travis Head,42,20,4,3,Nitish Kumar Reddy,11,7,1,0,Ravi Bishnoi,0.3,0,8,0,Digvesh Rathi,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,29.06,7.89,22.0,15.5,7.75,12.0,9.0,2.0,1,0,0,225,0,0.84
1,SRH,5,4,62,2,0,1,0,0,SRH,61.72,10.94,0,Travis Head,,field first,Travis Head,42,21,4,3,Nitish Kumar Reddy,11,7,1,0,Ravi Bishnoi,0.4,0,8,0,Digvesh Rathi,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,29.06,7.89,22.0,15.5,7.75,12.0,9.0,2.0,1,0,0,219,0,0.84
1,SRH,5,6,62,2,0,1,0,0,SRH,58.83,10.33,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,11,7,1,0,Travis Head,42,23,4,3,Ravi Bishnoi,1.0,0,8,0,Digvesh Rathi,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,29.06,7.89,22.0,15.5,7.75,12.0,13.0,2.0,1,0,0,207,0,0.82
1,SRH,6,1,65,2,0,0,0,0,SRH,58.95,10.54,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,14,8,1,0,Travis Head,42,23,4,3,Digvesh Rathi,1.1,0,12,0,Ravi Bishnoi,1.0,0,8,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,15.5,7.75,12.0,29.06,7.89,22.0,13.0,2.0,0,1,0,211,0,0.84
1,SRH,6,2,69,2,1,0,0,0,SRH,62.94,10.89,0,Travis Head,,field first,Travis Head,46,24,5,3,Nitish Kumar Reddy,14,8,1,0,Digvesh Rathi,1.2,0,16,0,Ravi Bishnoi,1.0,0,8,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,29.06,7.89,22.0,13.0,2.0,0,1,0,218,0,0.8
1,SRH,6,3,69,2,0,1,0,0,SRH,62.94,10.61,0,Travis Head,,field first,Travis Head,46,25,5,3,Nitish Kumar Reddy,14,8,1,0,Digvesh Rathi,1.3,0,16,0,Ravi Bishnoi,1.0,0,8,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,29.06,7.89,22.0,13.0,2.0,0,1,0,212,0,0.81
1,SRH,6,4,70,2,0,0,0,0,SRH,62.94,10.5,0,Travis Head,,field first,Travis Head,47,26,5,3,Nitish Kumar Reddy,14,8,1,0,Digvesh Rathi,1.4,0,17,0,Ravi Bishnoi,1.0,0,8,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,29.06,7.89,22.0,13.0,2.0,0,1,0,210,0,0.8
