over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • GT 182/5,GT won by 5 wickets (with 4 balls remaining),GT 100%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 1 • CSK 2/0,Live Forecast: CSK 157,GT 56.32%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 2 • CSK 13/0,Live Forecast: CSK 161,GT 51.73%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 3 • CSK 14/1,Devon Conway b Mohammed Shami 1 (6b 0x4 0x6) SR: 16.66;W;Live Forecast: CSK 154,GT 59.7%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 4 • CSK 29/1,Live Forecast: CSK 172,CSK 60.74%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 5 • CSK 46/1,Live Forecast: CSK 186,CSK 74.56%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 6 • CSK 51/2,Moeen Ali c †Saha b Rashid Khan 23 (17b 4x4 1x6) SR: 135.29;W;Live Forecast: CSK 185,CSK 73.69%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 7 • CSK 64/2,Live Forecast: CSK 197,CSK 82.83%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 8 • CSK 72/3,Ben Stokes c †Saha b Rashid Khan 7 (6b 1x4 0x6) SR: 116.66;W;Live Forecast: CSK 191,CSK 78.62%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 9 • CSK 90/3,Live Forecast: CSK 208,CSK 88.8%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 10 • CSK 93/3,Live Forecast: CSK 198,CSK 83.46%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 11 • CSK 100/3,Live Forecast: CSK 187,CSK 75.41%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 12 • CSK 114/3,Live Forecast: CSK 192,CSK 79.37%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 13 • CSK 121/4,Ambati Rayudu b Little 12 (12b 0x4 1x6) SR: 100;W;Live Forecast: CSK 192,CSK 79.37%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 14 • CSK 125/4,Live Forecast: CSK 186,CSK 74.56%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 15 • CSK 133/4,Live Forecast: CSK 182,CSK 70.96%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 16 • CSK 140/4,Live Forecast: CSK 179,CSK 68.06%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 17 • CSK 151/4,Live Forecast: CSK 180,CSK 69.04%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
