player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Matthew Short,bowler,6,3,,,,0,-,6.25,-
Arshdeep Singh,bowler,65,65,,,,76,27.00,9.02,17.9
Kagiso Rabada,bowler,80,80,,,,117,21.96,8.48,15.5
Sam Curran,bowler,59,58,,,,58,32.75,9.65,20.3
Harpreet Brar,bowler,41,39,,,,25,35.80,7.90,27.1
Sikandar Raza,bowler,9,7,,,,3,47.00,10.07,28.0
Rahul Chahar,bowler,78,77,,,,75,28.54,7.72,22.1
