over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 17 • PBKS 181/10,Harshal Patel c Ferguson b Mohammed Siraj 0 (1b 0x4 0x6 5m) SR: 0;W;Arshdeep Singh c Sharma b Mohammed Siraj 4 (3b 1x4 0x6 4m) SR: 133.33;W;RCB won by 60 runs,RCB 100%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 1 • RCB 11/0,Live Forecast: RCB 188,RCB 57.95%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 2 • RCB 19/0,Live Forecast: RCB 187,RCB 56.88%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 3 • RCB 20/1,Faf du Plessis c Shashank Singh b Kaverappa 9 (7b 2x4 0x6 11m) SR: 128.57;W;Live Forecast: RCB 177,PBKS 53.87%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 4 • RCB 36/1,Live Forecast: RCB 196,RCB 66.21%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 5 • RCB 44/2,Will Jacks c Patel b Kaverappa 12 (7b 1x4 1x6 11m) SR: 171.42;W;Live Forecast: RCB 189,RCB 59.01%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 6 • RCB 56/2,Live Forecast: RCB 206,RCB 75.37%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 7 • RCB 72/2,Live Forecast: RCB 222,RCB 86.27%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 8 • RCB 90/2,Live Forecast: RCB 240,RCB 93.39%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 9 • RCB 106/2,Live Forecast: RCB 251,RCB 95.85%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 10 • RCB 119/3,Rajat Patidar c †Bairstow b Curran 55 (23b 3x4 6x6 24m) SR: 239.13;W;Live Forecast: RCB 245,RCB 94.64%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 11 • RCB 125/3,Live Forecast: RCB 225,RCB 87.8%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 12 • RCB 133/3,Live Forecast: RCB 219,RCB 84.59%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 13 • RCB 144/3,Live Forecast: RCB 218,RCB 83.99%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 14 • RCB 153/3,Live Forecast: RCB 221,RCB 85.73%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 15 • RCB 164/3,Live Forecast: RCB 221,RCB 85.73%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 16 • RCB 185/3,Live Forecast: RCB 235,RCB 91.86%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 17 • RCB 200/3,Live Forecast: RCB 239,RCB 93.1%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 18 • RCB 217/4,Virat Kohli c Rossouw b Arshdeep Singh 92 (47b 7x4 6x6 82m) SR: 195.74;W;Live Forecast: RCB 242,RCB 93.92%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 19 • RCB 238/4,Live Forecast: RCB 251,RCB 95.85%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 20 • RCB 241/7,Dinesh Karthik c Curran b Patel 18 (7b 1x4 2x6 10m) SR: 257.14;W;Mahipal Lomror b Patel 0 (2b 0x4 0x6 3m) SR: 0;W;Cameron Green c Curran b Patel 46 (27b 5x4 1x6 50m) SR: 170.37;W;Live Forecast: RCB 241,RCB 93.66%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 1 • PBKS 14/1,Prabhsimran Singh lbw b Swapnil Singh 6 (4b 1x4 0x6 3m) SR: 150;W;PBKS needed 228 runs from 114 balls,RCB 93.76%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 2 • PBKS 21/1,PBKS needed 221 runs from 108 balls,RCB 94.35%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 3 • PBKS 27/1,PBKS needed 215 runs from 102 balls,RCB 95.41%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 4 • PBKS 45/1,PBKS needed 197 runs from 96 balls,RCB 93.11%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 5 • PBKS 61/1,PBKS needed 181 runs from 90 balls,RCB 85.54%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 6 • PBKS 75/2,Jonny Bairstow c du Plessis b Ferguson 27 (16b 4x4 1x6 30m) SR: 168.75;W;PBKS needed 167 runs from 84 balls,RCB 77.98%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 7 • PBKS 80/2,PBKS needed 162 runs from 78 balls,RCB 85.48%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 8 • PBKS 96/2,PBKS needed 146 runs from 72 balls,RCB 85.47%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 9 • PBKS 107/3,Rilee Rossouw c Jacks b Sharma 61 (27b 9x4 3x6 42m) SR: 225.92;W;PBKS needed 135 runs from 66 balls,RCB 86.02%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 10 • PBKS 114/3,PBKS needed 128 runs from 60 balls,RCB 90.66%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 11 • PBKS 125/4,Jitesh Sharma b Sharma 5 (4b 1x4 0x6 6m) SR: 125;W;PBKS needed 117 runs from 54 balls,RCB 92.13%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 12 • PBKS 132/5,Liam Livingstone c Sharma b Swapnil Singh 0 (2b 0x4 0x6 3m) SR: 0;W;PBKS needed 110 runs from 48 balls,RCB 98.08%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 13 • PBKS 146/5,PBKS needed 96 runs from 42 balls,RCB 96.84%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 14 • PBKS 153/6,Shashank Singh run out (Kohli) 37 (19b 4x4 2x6 39m) SR: 194.73;W;PBKS needed 89 runs from 36 balls,RCB 99.03%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
Over 15 • PBKS 164/7,Ashutosh Sharma lbw b Mohammed Siraj 8 (5b 0x4 1x6 9m) SR: 160;W;PBKS needed 78 runs from 30 balls,RCB 99.47%,"Himachal Pradesh Cricket Association Stadium, Dharamsala",33,9340,390,7010,23.94,7.99
