player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Virat Kohli,batsman,252,244,,8004,6065,,,38.66,131.97
Faf du Plessis (c),batsman,145,138,,4571,3352,,,35.99,136.36
Dinesh Karthik †,batsman,257,234,,4842,3577,,,26.31,135.36
Glenn Maxwell,batsman,134,129,,2771,1768,,,24.74,156.73
"Michael Bracewell,",batsman,5,4,,58,47,,,29.00,123.40
"Shahbaz Ahmed,",batsman,55,37,,536,440,,,19.14,121.81
"Harshal Patel,",batsman,106,42,,249,203,,,9.22,122.66
"Akash Deep,",batsman,8,3,,19,12,,,9.50,158.33
"Reece Topley,",batsman,5,1,,3,6,,,-,50.00
"Mohammed Siraj,",batsman,93,25,,109,119,,,10.90,91.59
Karn Sharma,batsman,84,40,,351,294,,,13.50,119.38
