over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 18 • RCB 123/10,Akash Deep c & b Varun 17 (8b 2x4 1x6 14m) SR: 212.5;W;KKR won by 81 runs,KKR 100%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 1 • KKR 9/0,Live Forecast: KKR 165,KKR 50.98%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 2 • KKR 12/0,Live Forecast: KKR 160,RCB 54.81%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 3 • KKR 26/0,Live Forecast: KKR 166,KKR 52.13%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 4 • KKR 26/2,Venkatesh Iyer b Willey 3 (7b 0x4 0x6 18m) SR: 42.85;W;Mandeep Singh b Willey 0 (1b 0x4 0x6 2m) SR: 0;W;Live Forecast: KKR 159,RCB 55.96%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 5 • KKR 41/2,Live Forecast: KKR 174,KKR 61.2%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 6 • KKR 47/2,Live Forecast: KKR 166,KKR 52.13%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 7 • KKR 51/3,Nitish Rana c †Karthik b Bracewell 1 (5b 0x4 0x6 17m) SR: 20;W;Live Forecast: KKR 170,KKR 56.73%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 8 • KKR 57/3,Live Forecast: KKR 162,RCB 52.5%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 9 • KKR 71/3,Live Forecast: KKR 176,KKR 63.36%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 10 • KKR 79/3,Live Forecast: KKR 187,KKR 74.15%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 11 • KKR 87/3,Live Forecast: KKR 185,KKR 72.36%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 12 • KKR 94/5,Rahmanullah Gurbaz c Akash Deep b Sharma 57 (44b 6x4 3x6 58m) SR: 129.54;W;Andre Russell c Kohli b Sharma 0 (1b 0x4 0x6 2m) SR: 0;W;Live Forecast: KKR 173,KKR 60.09%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 13 • KKR 113/5,Live Forecast: KKR 187,KKR 74.15%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 14 • KKR 124/5,Live Forecast: KKR 192,KKR 78.3%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
