player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Virat Kohli,batsman,252,244,,8004,6065,,,38.66,131.97
Faf du Plessis (c),batsman,145,138,,4571,3352,,,35.99,136.36
Michael Bracewell,batsman,5,4,,58,47,,,29.00,123.40
Glenn Maxwell,batsman,134,129,,2771,1768,,,24.74,156.73
Harshal Patel,batsman,106,42,,249,203,,,9.22,122.66
Shahbaz Ahmed,batsman,55,37,,536,440,,,19.14,121.81
Dinesh Karthik †,batsman,257,234,,4842,3577,,,26.31,135.36
Anuj Rawat,batsman,24,21,,318,267,,,19.87,119.10
David Willey,batsman,11,5,,53,62,,,26.50,85.48
Karn Sharma,batsman,84,40,,351,294,,,13.50,119.38
Akash Deep,batsman,8,3,,19,12,,,9.50,158.33
