player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Mohammed Siraj,bowler,93,93,,,,93,30.34,8.64,21.0
David Willey,bowler,11,11,,,,6,45.33,7.55,36.0
Akash Deep,bowler,8,8,,,,7,45.57,11.67,23.4
Michael Bracewell,bowler,5,5,,,,6,15.83,8.63,11.0
Shahbaz Ahmed,bowler,55,42,,,,21,39.85,9.35,25.5
Karn Sharma,bowler,84,82,,,,76,27.46,8.37,19.6
Harshal Patel,bowler,106,103,,,,135,23.32,8.74,16.0
