player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Reece Topley,bowler,5,5,,,,5,36.40,10.70,20.4
Mohammed Siraj,bowler,93,93,,,,93,30.34,8.64,21.0
Akash Deep,bowler,8,8,,,,7,45.57,11.67,23.4
Glenn Maxwell,bowler,134,79,,,,37,35.21,8.28,25.5
Vijaykumar Vyshak,bowler,11,11,,,,13,30.38,10.25,17.7
Will Jacks,bowler,8,5,,,,2,50.00,11.11,27.0
