over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • RCB 262/7,SRH won by 25 runs,SRH 100%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 1 • SRH 7/0,Live Forecast: SRH 181,SRH 55.64%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 2 • SRH 27/0,Live Forecast: SRH 195,SRH 70.18%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 3 • SRH 31/0,Live Forecast: SRH 190,SRH 65.26%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 4 • SRH 38/0,Live Forecast: SRH 194,SRH 69.23%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 5 • SRH 56/0,Live Forecast: SRH 202,SRH 76.34%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 6 • SRH 76/0,Live Forecast: SRH 234,SRH 93.14%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 7 • SRH 97/0,Live Forecast: SRH 261,SRH 97.82%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 8 • SRH 108/0,Live Forecast: SRH 273,SRH 98.7%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 9 • SRH 119/1,Abhishek Sharma c Ferguson b Topley 34 (22b 2x4 2x6 34m) SR: 154.54;W;Live Forecast: SRH 247,SRH 96.03%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 10 • SRH 128/1,Live Forecast: SRH 233,SRH 92.85%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 11 • SRH 142/1,Live Forecast: SRH 249,SRH 96.35%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 12 • SRH 158/1,Live Forecast: SRH 256,SRH 97.3%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 13 • SRH 171/2,Travis Head c du Plessis b Ferguson 102 (41b 9x4 8x6 58m) SR: 248.78;W;Live Forecast: SRH 258,SRH 97.52%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 14 • SRH 189/2,Live Forecast: SRH 264,SRH 98.08%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 15 • SRH 205/2,Live Forecast: SRH 266,SRH 98.24%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 16 • SRH 217/2,Live Forecast: SRH 268,SRH 98.38%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 17 • SRH 231/3,Heinrich Klaasen c Vyshak b Ferguson 67 (31b 2x4 7x6 46m) SR: 216.12;W;Live Forecast: SRH 266,SRH 98.24%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 18 • SRH 241/3,Live Forecast: SRH 263,SRH 98%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 19 • SRH 266/3,Live Forecast: SRH 280,SRH 99.04%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 20 • SRH 287/3,Live Forecast: SRH 287,SRH 99.29%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
Over 1 • RCB 10/0,RCB needed 278 runs from 114 balls,SRH 99.27%,"M Chinnaswamy Stadium, Bengaluru",N/A,N/A,N/A,N/A,N/A,N/A
