batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
RR,19,19.1,10,1,0,0,1,Jurel,Hetmyer,33,16,1,3,Jurel,29,13,2,2,Sam Curran,3.0,0,36,0,Arshdeep,4.0,0,47,2
RR,18,18.1,18,3,1,0,1,Hetmyer,Hetmyer,31,15,1,3,Jurel,12,8,0,1,Arshdeep,3.0,0,29,2,Sam Curran,3.0,0,35,0
RR,17,17.1,19,3,0,0,0,Hetmyer,Hetmyer,14,11,0,1,Jurel,11,6,0,1,Sam Curran,2.0,0,17,0,Ellis,4.0,0,30,4
RR,16,16.1,16,2,0,0,0,Jurel,Hetmyer,12,9,0,1,Jurel,2,2,0,0,Ellis,3.0,0,20,4,Chahar,4.0,0,31,0
RR,15,15.1,5,0,1,0,0,Hetmyer,Hetmyer,4,5,0,0,,0,0,0,0,Chahar,3.0,0,27,0,Ellis,3.0,0,14,4
RR,14,14.1,3,0,2,2,0,Padikkal,Padikkal,22,25,1,0,,0,0,0,0,Ellis,2.0,0,11,3,Arshdeep,3.0,0,29,2
RR,13,13.1,6,1,3,0,0,Padikkal,Padikkal,22,24,1,0,Parag,15,7,0,2,Arshdeep,2.0,0,24,2,Raza,2.0,0,24,0
RR,12,12.1,13,2,1,0,0,Parag,Padikkal,16,21,0,0,Parag,8,4,0,1,Raza,1.0,0,12,0,Chahar,3.0,0,26,0
RR,11,11.1,11,1,2,0,0,Parag,Padikkal,14,19,0,0,,0,0,0,0,Chahar,2.0,0,17,0,Ellis,2.0,0,11,2
RR,10,10.1,2,0,3,1,0,Samson,Samson,47,23,5,1,Padikkal,11,15,0,0,Ellis,1.0,0,10,1,Chahar,2.0,0,15,0
RR,9,9.1,8,0,0,0,0,Samson,Samson,40,18,5,1,Padikkal,10,14,0,0,Chahar,1.0,0,8,0,Raza,1.0,0,11,0
RR,8,8.1,11,0,1,0,2,Padikkal,Samson,33,16,5,1,Padikkal,6,10,0,0,Raza,0,0,1,0,Chahar,1.0,0,7,0
RR,7,7.1,7,1,2,0,0,Padikkal,Samson,28,14,4,1,Padikkal,3,6,0,0,Chahar,0,0,0,0,Harpreet Brar,2.0,0,15,0
RR,6,6.1,6,0,2,0,0,Samson,Samson,26,12,4,1,Padikkal,0,2,0,0,Harpreet Brar,1.0,0,10,0,Ellis,1.0,0,9,1
RR,5,5.1,9,2,2,1,0,Padikkal,Buttler,19,10,1,1,Samson,20,9,3,1,Ellis,0,0,4,0,Harpreet Brar,1.0,0,9,0
RR,4,4.1,9,2,3,0,0,Buttler,Buttler,19,9,1,1,Samson,7,4,0,1,Harpreet Brar,0,0,0,0,Arshdeep,2.0,0,23,2
RR,3,3.1,14,2,1,1,0,Buttler,Ashwin,0,3,0,0,Buttler,13,8,1,0,Arshdeep,1.0,0,10,1,Sam Curran,2.0,0,16,0
RR,2,2.1,9,1,2,0,0,Buttler,Ashwin,0,3,0,0,Buttler,5,2,0,0,Sam Curran,1.0,0,9,0,Arshdeep,1.0,0,9,1
RR,1,1.1,9,1,3,1,2,Ashwin,Jaiswal,11,6,1,1,Ashwin,0,1,0,0,Arshdeep,0,0,4,0,Sam Curran,1.0,0,7,0
RR,0,0.1,7,1,4,0,0,Ashwin,Jaiswal,6,1,0,1,,0,0,0,0,Sam Curran,0,0,6,0,,0,0,0,0
