batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
KKR,16,16.1,10,1,1,0,0,Shreyas Iyer,Shreyas Iyer,33,23,2,1,Rinku Singh,3,2,0,0,Dagar,2.0,0,14,1,Yash Dayal,4.0,0,46,1
KKR,15,15.1,9,1,0,1,1,Shreyas Iyer,Shreyas Iyer,26,19,1,1,,0,0,0,0,Yash Dayal,3.0,0,37,1,Siraj,3.0,0,46,0
KKR,14,14.1,17,2,1,0,2,Shreyas Iyer,Venkatesh Iyer,50,26,3,4,Shreyas Iyer,19,17,1,0,Siraj,2.0,0,35,0,Vyshak,4.0,0,23,1
KKR,13,13.1,6,0,0,0,0,Venkatesh Iyer,Venkatesh Iyer,41,22,3,3,Shreyas Iyer,17,15,1,0,Vyshak,3.0,0,18,1,Green,1.0,0,7,0
KKR,12,12.1,7,1,2,0,0,Shreyas Iyer,Venkatesh Iyer,36,18,2,3,Shreyas Iyer,15,13,1,0,Green,0,0,1,0,Vyshak,3.0,0,17,1
KKR,11,11.1,5,0,1,0,0,Venkatesh Iyer,Venkatesh Iyer,34,15,2,3,Shreyas Iyer,12,10,1,0,Vyshak,2.0,0,13,1,Alzarri Joseph,2.0,0,34,0
KKR,10,10.1,20,4,2,0,0,Venkatesh Iyer,Venkatesh Iyer,14,10,0,1,Shreyas Iyer,11,9,1,0,Alzarri Joseph,1.0,0,14,0,Vyshak,2.0,0,12,1
KKR,9,9.1,8,1,3,0,0,Shreyas Iyer,Venkatesh Iyer,14,9,0,1,Shreyas Iyer,3,4,0,0,Vyshak,1.0,0,4,1,Dagar,2.0,0,13,1
KKR,8,8.1,11,1,1,0,1,Shreyas Iyer,Venkatesh Iyer,5,5,0,0,Shreyas Iyer,2,2,0,0,Dagar,1.0,0,5,1,Vyshak,1.0,0,4,1
KKR,7,7.1,4,0,1,1,0,Shreyas Iyer,Salt,29,17,2,2,Venkatesh Iyer,4,4,0,0,Vyshak,0,0,1,0,Dagar,1.0,0,4,1
KKR,6,6.1,4,0,2,1,0,Venkatesh Iyer,Salt,29,17,2,2,Narine,57,20,3,5,Dagar,0,0,1,0,Yash Dayal,3.0,0,37,0
KKR,5,5.1,21,4,1,0,1,Narine,Salt,28,16,2,2,Narine,37,15,1,3,Yash Dayal,2.0,0,21,0,Siraj,2.0,0,29,0
KKR,4,4.1,11,1,1,0,0,Narine,Salt,26,14,2,2,Narine,28,11,1,2,Siraj,1.0,0,19,0,Yash Dayal,2.0,0,20,0
KKR,3,3.1,7,1,3,0,0,Salt,Salt,18,8,1,2,Narine,28,11,1,2,Yash Dayal,1.0,0,13,0,Alzarri Joseph,1.0,0,14,0
KKR,2,2.1,14,2,3,0,0,Narine,Salt,18,7,1,2,Narine,16,6,1,0,Alzarri Joseph,0,0,2,0,Yash Dayal,1.0,0,13,0
KKR,1,1.1,14,1,1,0,2,Salt,Salt,17,5,1,2,Narine,2,2,0,0,Yash Dayal,0,0,0,0,Siraj,1.0,0,18,0
KKR,0,0.1,18,3,1,0,0,Salt,Salt,0,1,0,0,,0,0,0,0,Siraj,0,0,0,0,,0,0,0,0
