over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • DC 140/8,Lalit Yadav b Pathirana 12 (5b 3x4 0x6 7m) SR: 240;W;CSK won by 27 runs,CSK 100%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 1 • CSK 4/0,Live Forecast: CSK 159,DC 62.57%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 2 • CSK 20/0,Live Forecast: CSK 169,DC 51.56%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 3 • CSK 25/0,Live Forecast: CSK 166,DC 54.94%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 4 • CSK 32/0,Live Forecast: CSK 171,CSK 50.7%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 5 • CSK 41/1,Devon Conway lbw b AR Patel 10 (13b 1x4 0x6 28m) SR: 76.92;W;Live Forecast: CSK 173,CSK 52.97%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 6 • CSK 49/1,Live Forecast: CSK 168,DC 52.69%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 7 • CSK 52/2,Ruturaj Gaikwad c Aman Hakim Khan b AR Patel 24 (18b 4x4 0x6 39m) SR: 133.33;W;Live Forecast: CSK 167,DC 53.82%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 8 • CSK 57/2,Live Forecast: CSK 161,DC 60.44%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 9 • CSK 61/2,Live Forecast: CSK 157,DC 64.65%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 10 • CSK 66/3,Moeen Ali c Marsh b Kuldeep Yadav 7 (12b 0x4 0x6 13m) SR: 58.33;W;Live Forecast: CSK 156,DC 65.67%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 11 • CSK 77/3,Live Forecast: CSK 166,DC 54.94%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 12 • CSK 82/4,Ajinkya Rahane c & b Lalit Yadav 21 (20b 2x4 0x6 31m) SR: 105;W;Live Forecast: CSK 161,DC 60.44%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 13 • CSK 88/4,Live Forecast: CSK 157,DC 64.65%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 14 • CSK 111/4,Live Forecast: CSK 178,CSK 58.56%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 15 • CSK 117/5,Shivam Dube c Warner b Marsh 25 (12b 0x4 3x6 24m) SR: 208.33;W;Live Forecast: CSK 171,CSK 50.7%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 16 • CSK 125/5,Live Forecast: CSK 167,DC 53.82%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 17 • CSK 128/6,Ambati Rayudu c RV Patel b Ahmed 23 (17b 1x4 1x6 28m) SR: 135.29;W;Live Forecast: CSK 159,DC 62.57%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 18 • CSK 139/6,Live Forecast: CSK 161,DC 60.44%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 19 • CSK 160/6,Live Forecast: CSK 173,CSK 52.97%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 20 • CSK 167/8,Ravindra Jadeja c AR Patel b Marsh 21 (16b 1x4 1x6 30m) SR: 131.25;W;MS Dhoni c Warner b Marsh 20 (9b 1x4 2x6 22m) SR: 222.22;W;Live Forecast: CSK 167,DC 53.82%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 1 • DC 1/1,David Warner c Rahane b Chahar 0 (2b 0x4 0x6 2m) SR: 0;W;DC needed 167 runs from 114 balls,CSK 58.19%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 2 • DC 13/1,DC needed 155 runs from 108 balls,CSK 51.38%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 3 • DC 25/2,Phil Salt c Rayudu b Chahar 17 (11b 1x4 2x6 19m) SR: 154.54;W;DC needed 143 runs from 102 balls,CSK 53.87%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 4 • DC 27/3,Mitchell Marsh run out (Rahane) 5 (4b 1x4 0x6 21m) SR: 125;W;DC needed 141 runs from 96 balls,CSK 65.76%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 5 • DC 42/3,DC needed 126 runs from 90 balls,CSK 52.66%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 6 • DC 47/3,DC needed 121 runs from 84 balls,CSK 58.88%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 7 • DC 48/3,DC needed 120 runs from 78 balls,CSK 68.5%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
