over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • RR 201/8,Rovman Powell b Mukesh Kumar 13 (10b 1x4 1x6 36m) SR: 130;W;DC won by 20 runs,DC 100%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 1 • DC 6/0,Live Forecast: DC 174,RR 52.95%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 2 • DC 16/0,Live Forecast: DC 175,RR 51.86%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 3 • DC 31/0,Live Forecast: DC 185,DC 59.1%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 4 • DC 59/0,Live Forecast: DC 217,DC 85.78%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 5 • DC 68/1,Jake Fraser-McGurk c Ferreira b Ashwin 50 (20b 7x4 3x6 24m) SR: 250;W;Live Forecast: DC 220,DC 87.33%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 6 • DC 78/2,Shai Hope run out (Sandeep Sharma) 1 (1b 0x4 0x6 3m) SR: 100;W;Live Forecast: DC 222,DC 88.29%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 7 • DC 84/2,Live Forecast: DC 207,DC 79.42%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 8 • DC 98/2,Live Forecast: DC 210,DC 81.53%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 9 • DC 109/2,Live Forecast: DC 215,DC 84.66%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 10 • DC 115/3,Axar Patel c Parag b Ashwin 15 (10b 1x4 1x6 15m) SR: 150;W;Live Forecast: DC 215,DC 84.66%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 11 • DC 129/3,Live Forecast: DC 225,DC 89.6%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
