over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • LSG 189/9,DC won by 19 runs,DC 100%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 1 • DC 6/1,Jake Fraser-McGurk c Naveen-ul-Haq b Arshad Khan 0 (2b 0x4 0x6 3m) SR: 0;W;Live Forecast: DC 172,LSG 53.33%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 2 • DC 14/1,Live Forecast: DC 171,LSG 54.43%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 3 • DC 35/1,Live Forecast: DC 188,DC 64.08%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 4 • DC 51/1,Live Forecast: DC 207,DC 80.65%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 5 • DC 56/1,Live Forecast: DC 206,DC 79.94%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 6 • DC 73/1,Live Forecast: DC 213,DC 84.48%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 7 • DC 79/1,Live Forecast: DC 204,DC 78.48%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 8 • DC 88/1,Live Forecast: DC 207,DC 80.65%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 9 • DC 97/2,Shai Hope c Rahul b Ravi Bishnoi 38 (27b 3x4 2x6 43m) SR: 140.74;W;Live Forecast: DC 204,DC 78.48%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 10 • DC 106/2,Live Forecast: DC 209,DC 82%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 11 • DC 111/2,Live Forecast: DC 201,DC 76.13%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 12 • DC 115/3,Abishek Porel c Pooran b Naveen-ul-Haq 58 (33b 5x4 4x6 58m) SR: 175.75;W;Live Forecast: DC 193,DC 69.05%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 13 • DC 121/3,Live Forecast: DC 190,DC 66.11%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 14 • DC 132/3,Live Forecast: DC 195,DC 70.92%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 15 • DC 136/3,Live Forecast: DC 187,DC 63.05%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 16 • DC 154/3,Live Forecast: DC 201,DC 76.13%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 17 • DC 163/4,Rishabh Pant c Hooda b Naveen-ul-Haq 33 (23b 5x4 0x6 39m) SR: 143.47;W;Live Forecast: DC 198,DC 73.61%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 18 • DC 175/4,Live Forecast: DC 200,DC 75.31%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 19 • DC 196/4,Live Forecast: DC 212,DC 83.89%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
