player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Wriddhiman Saha †,batsman,170,145,,2934,2300,,,24.24,127.56
Shubman Gill,batsman,103,100,,3216,2370,,,37.83,135.69
Sai Sudharsan,batsman,25,25,,1034,743,,,47.00,139.16
Hardik Pandya (c),batsman,137,128,,2525,1734,,,28.69,145.61
David Miller,batsman,130,124,,2924,2100,,,36.09,139.23
Rahul Tewatia,batsman,93,65,,1013,752,,,25.32,134.70
Dasun Shanaka,batsman,3,3,,26,26,,,13.00,100.00
Rashid Khan,batsman,121,60,,545,337,,,14.72,161.72
Noor Ahmad,batsman,23,7,,13,18,,,3.25,72.22
Mohammed Shami,batsman,110,25,,74,79,,,5.69,93.67
Mohit Sharma,batsman,112,31,,124,133,,,7.29,93.23
