over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • DC 205/8,Lalit Yadav c †Ishan Kishan b Coetzee 3 (4b 0x4 0x6 4m) SR: 75;W;Kumar Kushagra c Tilak Varma b Coetzee 0 (1b 0x4 0x6 1m) SR: 0;W;Jhye Richardson c Sharma b Coetzee 2 (2b 0x4 0x6 1m) SR: 100;W;MI won by 29 runs,MI 100%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 1 • MI 7/0,Live Forecast: MI 173,MI 51.74%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 2 • MI 21/0,Live Forecast: MI 179,MI 58.41%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 3 • MI 33/0,Live Forecast: MI 182,MI 61.65%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 4 • MI 46/0,Live Forecast: MI 197,MI 75.89%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 5 • MI 60/0,Live Forecast: MI 200,MI 78.26%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 6 • MI 75/0,Live Forecast: MI 225,MI 91.57%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 7 • MI 80/1,Rohit Sharma b Patel 49 (27b 6x4 3x6 30m) SR: 181.48;W;Live Forecast: MI 208,MI 83.7%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 8 • MI 84/2,Suryakumar Yadav c sub (J Fraser-McGurk) b Nortje 0 (2b 0x4 0x6 2m) SR: 0;W;Live Forecast: MI 193,MI 72.47%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 9 • MI 92/2,Live Forecast: MI 195,MI 74.22%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 10 • MI 105/2,Live Forecast: MI 201,MI 79.01%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 11 • MI 113/3,Ishan Kishan c & b Patel 42 (23b 4x4 2x6 45m) SR: 182.6;W;Live Forecast: MI 206,MI 82.46%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 12 • MI 120/3,Live Forecast: MI 202,MI 79.73%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 13 • MI 123/4,Tilak Varma c Patel b Ahmed 6 (5b 1x4 0x6 9m) SR: 120;W;Live Forecast: MI 194,MI 73.36%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 14 • MI 131/4,Live Forecast: MI 192,MI 71.57%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 15 • MI 138/4,Live Forecast: MI 190,MI 69.71%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 16 • MI 150/4,Live Forecast: MI 195,MI 74.22%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 17 • MI 167/4,Live Forecast: MI 204,MI 81.13%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 18 • MI 183/5,Hardik Pandya c sub (J Fraser-McGurk) b Nortje 39 (33b 3x4 1x6 51m) SR: 118.18;W;Live Forecast: MI 207,MI 83.09%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 19 • MI 202/5,Live Forecast: MI 215,MI 87.5%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 20 • MI 234/5,Live Forecast: MI 234,MI 94.15%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 1 • DC 7/0,DC needed 228 runs from 114 balls,MI 94.74%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 2 • DC 11/0,DC needed 224 runs from 108 balls,MI 95.86%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 3 • DC 15/0,DC needed 220 runs from 102 balls,MI 96.74%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 4 • DC 24/1,David Warner c Pandya b Shepherd 10 (8b 1x4 1x6 15m) SR: 125;W;DC needed 211 runs from 96 balls,MI 98.14%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 5 • DC 33/1,DC needed 202 runs from 90 balls,MI 98.15%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 6 • DC 46/1,DC needed 189 runs from 84 balls,MI 97.65%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 7 • DC 53/1,DC needed 182 runs from 78 balls,MI 97.79%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 8 • DC 69/1,DC needed 166 runs from 72 balls,MI 95.88%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
Over 9 • DC 84/1,DC needed 151 runs from 66 balls,MI 92.09%,"Wankhede Stadium, Mumbai",203,64586,2438,46641,26.49,8.30
