over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • SRH 137/6,DC won by 7 runs,DC 100%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 1 • DC 2/1,Phil Salt c †Klaasen b Kumar 0 (1b 0x4 0x6 4m) SR: 0;W;Live Forecast: DC 156,SRH 62.4%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 2 • DC 21/1,Live Forecast: DC 169,DC 52.38%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 3 • DC 22/1,Live Forecast: DC 161,SRH 56.84%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 4 • DC 35/1,Live Forecast: DC 176,DC 60.34%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 5 • DC 41/2,Mitchell Marsh lbw b Natarajan 25 (15b 5x4 0x6 22m) SR: 166.66;W;Live Forecast: DC 169,DC 52.38%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 6 • DC 49/2,Live Forecast: DC 170,DC 53.54%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 7 • DC 57/2,Live Forecast: DC 181,DC 65.72%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 8 • DC 62/5,David Warner c Brook b Washington Sundar 21 (20b 2x4 1x6 39m) SR: 105;W;Sarfaraz Khan c Kumar b Washington Sundar 10 (9b 0x4 1x6 16m) SR: 111.11;W;Aman Khan c Abhishek Sharma b Washington Sundar 4 (2b 1x4 0x6 3m) SR: 200;W;Live Forecast: DC 165,SRH 52.25%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 9 • DC 69/5,Live Forecast: DC 165,SRH 52.25%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 10 • DC 72/5,Live Forecast: DC 158,SRH 60.21%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 11 • DC 76/5,Live Forecast: DC 155,SRH 63.48%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 12 • DC 84/5,Live Forecast: DC 156,SRH 62.4%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 13 • DC 91/5,Live Forecast: DC 158,SRH 60.21%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 14 • DC 97/5,Live Forecast: DC 157,SRH 61.31%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 15 • DC 106/5,Live Forecast: DC 155,SRH 63.48%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 16 • DC 113/5,Live Forecast: DC 153,SRH 65.6%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 17 • DC 128/5,Live Forecast: DC 158,SRH 60.21%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 18 • DC 132/6,Axar Patel b Kumar 34 (34b 4x4 0x6 43m) SR: 100;W;Live Forecast: DC 151,SRH 67.65%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 19 • DC 138/7,Manish Pandey run out (Washington Sundar/†Klaasen) 34 (27b 2x4 0x6 53m) SR: 125.92;W;Live Forecast: DC 147,SRH 71.56%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 20 • DC 144/9,Anrich Nortje run out (Umran Malik/†Klaasen) 2 (2b 0x4 0x6 7m) SR: 100;W;Ripal Patel run out (†Klaasen) 5 (6b 0x4 0x6 13m) SR: 83.33;W;Live Forecast: DC 144,SRH 74.29%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 1 • SRH 7/0,SRH needed 138 runs from 114 balls,SRH 75.35%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 2 • SRH 12/0,SRH needed 133 runs from 108 balls,SRH 75.37%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 3 • SRH 19/0,SRH needed 126 runs from 102 balls,SRH 76.62%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 4 • SRH 26/0,SRH needed 119 runs from 96 balls,SRH 79.92%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 5 • SRH 31/0,SRH needed 114 runs from 90 balls,SRH 76.26%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
Over 6 • SRH 36/1,Harry Brook b Nortje 7 (14b 0x4 0x6 26m) SR: 50;W;SRH needed 109 runs from 84 balls,SRH 71.68%,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
