over,innings,score,projected_score,required,CRR,RRR,fav_team,win_probability,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
20,SRH,137/6,N/A,N/A,6.85,N/A,DC,100.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
1,DC,2/1,156,N/A,2.00,N/A,SRH,62.4,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
2,DC,21/1,169,N/A,10.50,N/A,DC,52.38,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
3,DC,22/1,161,N/A,7.33,N/A,SRH,56.84,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
4,DC,35/1,176,N/A,8.75,N/A,DC,60.34,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
5,DC,41/2,169,N/A,8.20,N/A,DC,52.38,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
6,DC,49/2,170,N/A,8.17,N/A,DC,53.54,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
7,DC,57/2,181,N/A,8.14,N/A,DC,65.72,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
8,DC,62/5,165,N/A,7.75,N/A,SRH,52.25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
9,DC,69/5,165,N/A,7.67,N/A,SRH,52.25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
10,DC,72/5,158,N/A,7.20,N/A,SRH,60.21,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
11,DC,76/5,155,N/A,6.91,N/A,SRH,63.48,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
