player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Bhuvneshwar Kumar,bowler,176,176,,,,181,27.23,7.56,21.6
Pat Cummins,bowler,58,58,,,,63,30.52,8.74,20.9
T Natarajan,bowler,61,61,,,,67,29.38,8.83,19.9
Shahbaz Ahmed,bowler,55,42,,,,21,39.85,9.35,25.5
Jaydev Unadkat,bowler,105,104,,,,99,32.21,8.97,21.5
Aiden Markram,bowler,44,14,,,,2,86.00,8.52,60.5
