over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 14 • RCB 152/6,RCB won by 4 wickets (with 38 balls remaining),RCB 100%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 1 • GT 1/0,Live Forecast: GT 175,RCB 51.87%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 2 • GT 3/1,Wriddhiman Saha c †Karthik b Mohammed Siraj 1 (7b 0x4 0x6 5m) SR: 14.28;W;Live Forecast: GT 169,RCB 58.35%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 3 • GT 7/1,Live Forecast: GT 163,RCB 64.51%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 4 • GT 14/2,Shubman Gill c Vyshak b Mohammed Siraj 2 (7b 0x4 0x6 20m) SR: 28.57;W;Live Forecast: GT 166,RCB 61.48%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 5 • GT 18/2,Live Forecast: GT 164,RCB 63.52%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 6 • GT 23/3,Sai Sudharsan c Kohli b Green 6 (14b 0x4 0x6 21m) SR: 42.85;W;Live Forecast: GT 159,RCB 68.35%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 7 • GT 34/3,Live Forecast: GT 166,RCB 61.48%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 8 • GT 41/3,Live Forecast: GT 170,RCB 57.29%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 9 • GT 49/3,Live Forecast: GT 172,RCB 55.14%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 10 • GT 61/3,Live Forecast: GT 178,GT 51.43%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 11 • GT 72/3,Live Forecast: GT 181,GT 54.73%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 12 • GT 84/4,David Miller c Maxwell b Sharma 30 (20b 3x4 2x6 32m) SR: 150;W;Live Forecast: GT 177,GT 50.33%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 13 • GT 88/5,M Shahrukh Khan run out (Kohli) 37 (24b 5x4 1x6 46m) SR: 154.16;W;Live Forecast: GT 162,RCB 65.49%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 14 • GT 93/5,Live Forecast: GT 153,RCB 73.63%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 15 • GT 102/5,Live Forecast: GT 150,RCB 76.04%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 16 • GT 121/5,Live Forecast: GT 164,RCB 63.52%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 17 • GT 130/5,Live Forecast: GT 164,RCB 63.52%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 18 • GT 136/7,Rashid Khan b Yash Dayal 18 (14b 2x4 1x6 21m) SR: 128.57;W;Rahul Tewatia c Vyshak b Yash Dayal 35 (21b 5x4 1x6 31m) SR: 166.66;W;Live Forecast: GT 157,RCB 70.18%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 19 • GT 147/7,Live Forecast: GT 159,RCB 68.35%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Current Over 20 • GT 147/10,Manav Suthar c Swapnil Singh b Vyshak 1 (2b 0x4 0x6 5m) SR: 50;W;Mohit Sharma run out (†Karthik/Vyshak) 0 (1b 0x4 0x6 1m) SR: 0;W;Vijay Shankar c Mohammed Siraj b Vyshak 10 (7b 2x4 0x6 12m) SR: 142.85;W;Live Forecast: GT 147,RCB 78.28%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 1 • RCB 14/0,RCB needed 134 runs from 114 balls,RCB 84.46%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
Over 2 • RCB 34/0,RCB needed 114 runs from 108 balls,RCB 92.61%,"M Chinnaswamy Stadium, Bengaluru",135,42577,1556,29542,27.36,8.64
