innings_num,batting_team,over_number,ball_number,total_score,total_wickets,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,RCB,2,1,25,0,0,1,0,0,RCB,60.1,11.53,0,Virat Kohli,CSK,field first,Virat Kohli,1,3,0,0,Phil Salt,24,10,4,1,Khaleel Ahmed,1.1,0,9,0,Ravichandran Ashwin,1.0,0,16,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,3.66,57.89,34.36,175.53,24.8,8.81,16.8,28.74,7.15,24.0,12.5,0,1,0,0,231,0,0.61
1,RCB,2,2,25,0,0,1,0,0,RCB,60.1,10.71,0,Virat Kohli,CSK,field first,Virat Kohli,1,4,0,0,Phil Salt,24,10,4,1,Khaleel Ahmed,1.2,0,9,0,Ravichandran Ashwin,1.0,0,16,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,3.66,57.89,34.36,175.53,24.8,8.81,16.8,28.74,7.15,24.0,12.5,0,1,0,0,214,0,0.59
1,RCB,2,3,26,0,0,0,0,1,RCB,58.02,10.4,0,Virat Kohli,CSK,field first,Virat Kohli,1,5,0,0,Phil Salt,24,10,4,1,Khaleel Ahmed,1.3,0,9,0,Ravichandran Ashwin,1.0,0,16,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,3.66,57.89,34.36,175.53,24.8,8.81,16.8,28.74,7.15,24.0,12.5,0,1,0,0,208,0,0.58
1,RCB,2,4,30,0,1,0,0,0,RCB,57.99,11.25,0,Phil Salt,CSK,field first,Phil Salt,28,11,5,1,Virat Kohli,1,5,0,0,Khaleel Ahmed,1.4,0,13,0,Ravichandran Ashwin,1.0,0,16,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,34.36,175.53,3.66,57.89,24.8,8.81,16.8,28.74,7.15,24.0,12.5,0,1,0,0,225,0,0.74
1,RCB,2,5,30,0,0,1,0,0,RCB,59.95,10.58,0,Phil Salt,CSK,field first,Phil Salt,28,12,5,1,Virat Kohli,1,5,0,0,Khaleel Ahmed,1.5,0,13,0,Ravichandran Ashwin,1.0,0,16,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,34.36,175.53,3.66,57.89,24.8,8.81,16.8,28.74,7.15,24.0,12.5,0,1,0,0,212,0,0.73
1,RCB,2,6,32,0,0,0,0,0,RCB,58.91,10.66,0,Phil Salt,CSK,field first,Phil Salt,30,13,5,1,Virat Kohli,1,5,0,0,Khaleel Ahmed,1.6,0,15,0,Ravichandran Ashwin,1.0,0,16,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,34.36,175.53,3.66,57.89,24.8,8.81,16.8,28.74,7.15,24.0,12.5,0,1,0,0,213,0,0.73
1,RCB,3,1,32,0,0,1,0,0,RCB,58.84,10.1,0,Virat Kohli,CSK,field first,Virat Kohli,1,6,0,0,Phil Salt,30,13,5,1,Sam Curran,0.1,0,0,0,Khaleel Ahmed,2.0,0,15,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,3.66,57.89,34.36,175.53,32.98,9.66,20.4,24.8,8.81,16.8,10.67,0,1,0,0,202,0,0.66
1,RCB,3,2,34,0,0,0,0,0,RCB,57.8,10.2,0,Virat Kohli,CSK,field first,Virat Kohli,3,7,0,0,Phil Salt,30,13,5,1,Sam Curran,0.2,0,2,0,Khaleel Ahmed,2.0,0,15,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,3.66,57.89,34.36,175.53,32.98,9.66,20.4,24.8,8.81,16.8,10.67,0,1,0,0,204,0,0.65
1,RCB,3,3,34,0,0,1,0,0,RCB,57.73,9.71,0,Virat Kohli,CSK,field first,Virat Kohli,3,8,0,0,Phil Salt,30,13,5,1,Sam Curran,0.3,0,2,0,Khaleel Ahmed,2.0,0,15,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,3.66,57.89,34.36,175.53,32.98,9.66,20.4,24.8,8.81,16.8,10.67,0,1,0,0,194,0,0.66
1,RCB,3,4,35,0,0,0,0,0,RCB,57.73,9.54,0,Virat Kohli,CSK,field first,Virat Kohli,3,9,0,0,Phil Salt,30,13,5,1,Sam Curran,0.4,0,2,0,Khaleel Ahmed,2.0,0,15,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,3.66,57.89,34.36,175.53,32.98,9.66,20.4,24.8,8.81,16.8,10.67,0,1,0,0,191,0,0.64
1,RCB,3,5,36,0,0,0,0,0,RCB,56.65,9.39,0,Phil Salt,CSK,field first,Phil Salt,31,14,5,1,Virat Kohli,3,9,0,0,Sam Curran,0.5,0,3,0,Khaleel Ahmed,2.0,0,15,0,"MA Chidambaram Stadium, Chepauk, Chennai",115,24.91,7.83,34.36,175.53,3.66,57.89,32.98,9.66,20.4,24.8,8.81,16.8,10.67,0,1,0,0,188,0,0.63
