player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Jason Behrendorff,bowler,17,17,,,,19,29.05,9.04,19.2
Akash Madhwal,bowler,13,13,,,,19,22.31,9.70,13.7
Chris Jordan,bowler,34,34,,,,30,35.66,9.61,22.2
Cameron Green,bowler,29,29,,,,16,41.50,9.07,27.4
Hrithik Shokeen,bowler,13,13,,,,5,62.80,9.23,40.8
Piyush Chawla,bowler,192,191,,,,192,26.60,7.96,20.0
