over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • MI 152/9,Arjun Tendulkar c Little b Sharma 13 (9b 0x4 1x6 13m) SR: 144.44;W;GT won by 55 runs,GT 100%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 1 • GT 4/0,Live Forecast: GT 162,MI 57.55%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 2 • GT 12/0,Live Forecast: GT 162,MI 57.55%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 3 • GT 17/1,Wriddhiman Saha c †Ishan Kishan b Tendulkar 4 (7b 0x4 0x6 13m) SR: 57.14;W;Live Forecast: GT 161,MI 58.67%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 4 • GT 23/1,Live Forecast: GT 163,MI 56.41%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 5 • GT 33/1,Live Forecast: GT 167,MI 51.82%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 6 • GT 50/1,Live Forecast: GT 189,GT 72.05%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 7 • GT 55/2,Hardik Pandya c Yadav b Chawla 13 (14b 1x4 0x6 23m) SR: 92.85;W;Live Forecast: GT 188,GT 71.1%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 8 • GT 60/2,Live Forecast: GT 187,GT 70.14%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 9 • GT 68/2,Live Forecast: GT 167,MI 51.82%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 10 • GT 84/2,Live Forecast: GT 189,GT 72.05%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 11 • GT 91/2,Live Forecast: GT 190,GT 72.97%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 12 • GT 99/3,Shubman Gill c Yadav b Kartikeya 56 (34b 7x4 1x6 57m) SR: 164.7;W;Live Forecast: GT 186,GT 69.16%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 13 • GT 103/4,Vijay Shankar c David b Chawla 19 (16b 1x4 1x6 27m) SR: 118.75;W;Live Forecast: GT 175,GT 57.39%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 14 • GT 113/4,Live Forecast: GT 176,GT 58.51%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 15 • GT 130/4,Live Forecast: GT 186,GT 69.16%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
