over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 17 • KKR 157/3,KKR won by 7 wickets (with 21 balls remaining),KKR 100%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 1 • DC 15/0,Live Forecast: DC 193,DC 66.1%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 2 • DC 18/1,Prithvi Shaw c †Salt b Arora 13 (7b 3x4 0x6 10m) SR: 185.71;W;Live Forecast: DC 184,DC 56.69%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 3 • DC 30/2,Jake Fraser-McGurk c VR Iyer b Starc 12 (7b 1x4 1x6 18m) SR: 171.42;W;Live Forecast: DC 182,DC 54.52%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 4 • DC 42/3,Shai Hope b Arora 6 (3b 0x4 1x6 3m) SR: 200;W;Live Forecast: DC 182,DC 54.52%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 5 • DC 58/3,Live Forecast: DC 202,DC 74.43%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 6 • DC 67/3,Live Forecast: DC 206,DC 77.68%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 7 • DC 68/4,Abishek Porel b Harshit Rana 18 (15b 2x4 1x6 28m) SR: 120;W;Live Forecast: DC 188,DC 60.97%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 8 • DC 73/4,Live Forecast: DC 182,DC 54.52%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 9 • DC 80/4,Live Forecast: DC 182,DC 54.52%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 10 • DC 93/4,Live Forecast: DC 190,DC 63.05%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 11 • DC 94/5,Rishabh Pant c SS Iyer b Varun 27 (20b 2x4 1x6 32m) SR: 135;W;Live Forecast: DC 178,DC 50.15%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 12 • DC 99/5,Live Forecast: DC 174,KKR 54.2%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 13 • DC 101/6,Tristan Stubbs c †Salt b Varun 4 (7b 0x4 0x6 7m) SR: 57.14;W;Live Forecast: DC 153,KKR 74.39%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 14 • DC 106/7,Axar Patel b Narine 15 (21b 2x4 0x6 30m) SR: 71.42;W;Live Forecast: DC 145,KKR 80.24%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 15 • DC 112/8,Kumar Kushagra c †Salt b Varun 1 (3b 0x4 0x6 9m) SR: 33.33;W;Live Forecast: DC 139,KKR 83.9%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 16 • DC 128/8,Live Forecast: DC 155,KKR 72.75%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 17 • DC 136/8,Live Forecast: DC 164,KKR 64.55%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 18 • DC 139/8,Live Forecast: DC 159,KKR 69.27%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 19 • DC 143/9,Rasikh Salam c SS Iyer b Harshit Rana 8 (10b 1x4 0x6 21m) SR: 80;W;Live Forecast: DC 153,KKR 74.39%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 20 • DC 153/9,Live Forecast: DC 153,KKR 74.39%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 1 • KKR 23/0,KKR needed 131 runs from 114 balls,KKR 86.56%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 2 • KKR 27/0,KKR needed 127 runs from 108 balls,KKR 86.62%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 3 • KKR 40/0,KKR needed 114 runs from 102 balls,KKR 90.8%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 4 • KKR 46/0,KKR needed 108 runs from 96 balls,KKR 90.64%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 5 • KKR 61/0,KKR needed 93 runs from 90 balls,KKR 95.07%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 6 • KKR 79/0,KKR needed 75 runs from 84 balls,KKR 98.14%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 7 • KKR 84/1,Sunil Narine c Fraser-McGurk b Patel 15 (10b 3x4 0x6 34m) SR: 150;W;KKR needed 70 runs from 78 balls,KKR 97.86%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 8 • KKR 96/1,KKR needed 58 runs from 72 balls,KKR 98.71%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 9 • KKR 100/2,Phil Salt b Patel 68 (33b 7x4 5x6 42m) SR: 206.06;W;KKR needed 54 runs from 66 balls,KKR 97.92%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 10 • KKR 104/3,Rinku Singh c Kuldeep Yadav b Williams 11 (11b 1x4 0x6 13m) SR: 100;W;KKR needed 50 runs from 60 balls,KKR 96.58%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 11 • KKR 113/3,KKR needed 41 runs from 54 balls,KKR 98.04%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 12 • KKR 121/3,KKR needed 33 runs from 48 balls,KKR 98.85%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 13 • KKR 130/3,KKR needed 24 runs from 42 balls,KKR 99.48%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 14 • KKR 134/3,KKR needed 20 runs from 36 balls,KKR 99.49%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 15 • KKR 141/3,KKR needed 13 runs from 30 balls,KKR 99.67%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
Over 16 • KKR 151/3,KKR needed 3 runs from 24 balls,KKR 99.92%,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
