over,innings,score,projected_score,required,CRR,RRR,fav_team,win_probability,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
17,KKR,157/3,N/A,N/A,9.24,N/A,KKR,100.0,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
1,DC,15/0,193,N/A,15.00,N/A,DC,66.1,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
2,DC,18/1,184,N/A,9.00,N/A,DC,56.69,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
3,DC,30/2,182,N/A,10.00,N/A,DC,54.52,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
4,DC,42/3,182,N/A,10.50,N/A,DC,54.52,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
5,DC,58/3,202,N/A,11.60,N/A,DC,74.43,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
6,DC,67/3,206,N/A,11.17,N/A,DC,77.68,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
7,DC,68/4,188,N/A,9.71,N/A,DC,60.97,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
8,DC,73/4,182,N/A,9.12,N/A,DC,54.52,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
9,DC,80/4,182,N/A,8.89,N/A,DC,54.52,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
10,DC,93/4,190,N/A,9.30,N/A,DC,63.05,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
11,DC,94/5,178,N/A,8.55,N/A,DC,50.15,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
12,DC,99/5,174,N/A,8.25,N/A,KKR,54.2,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
13,DC,101/6,153,N/A,7.77,N/A,KKR,74.39,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
14,DC,106/7,145,N/A,7.57,N/A,KKR,80.24,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
15,DC,112/8,139,N/A,7.47,N/A,KKR,83.9,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
16,DC,128/8,155,N/A,8.00,N/A,KKR,72.75,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
17,DC,136/8,164,N/A,8.00,N/A,KKR,64.55,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
18,DC,139/8,159,N/A,7.72,N/A,KKR,69.27,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
19,DC,143/9,153,N/A,7.53,N/A,KKR,74.39,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
20,DC,153/9,153,N/A,7.65,N/A,KKR,74.39,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
1,KKR,23/0,N/A,131 from 114,23.00,6.89,KKR,86.56,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
2,KKR,27/0,N/A,127 from 108,13.50,7.06,KKR,86.62,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
3,KKR,40/0,N/A,114 from 102,13.33,6.71,KKR,90.8,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
4,KKR,46/0,N/A,108 from 96,11.50,6.75,KKR,90.64,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
5,KKR,61/0,N/A,93 from 90,12.20,6.20,KKR,95.07,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
6,KKR,79/0,N/A,75 from 84,13.17,5.36,KKR,98.14,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
7,KKR,84/1,N/A,70 from 78,12.00,5.38,KKR,97.86,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
8,KKR,96/1,N/A,58 from 72,12.00,4.83,KKR,98.71,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
9,KKR,100/2,N/A,54 from 66,11.11,4.91,KKR,97.92,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
10,KKR,104/3,N/A,50 from 60,10.40,5.00,KKR,96.58,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
11,KKR,113/3,N/A,41 from 54,10.27,4.56,KKR,98.04,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
12,KKR,121/3,N/A,33 from 48,10.08,4.12,KKR,98.85,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
13,KKR,130/3,N/A,24 from 42,10.00,3.43,KKR,99.48,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
14,KKR,134/3,N/A,20 from 36,9.57,3.33,KKR,99.49,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
15,KKR,141/3,N/A,13 from 30,9.40,2.60,KKR,99.67,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
16,KKR,151/3,N/A,3 from 24,9.44,0.75,KKR,99.92,"Eden Gardens, Kolkata",158,48956,1938,36048,25.26,8.14
