innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,RR,3,4,1,0,0,0,0,KKR,51.85,9.0,0,Unknown,KKR,field first,Yashasvi Jaiswal,19,12,2,1,Sanju Samson,13,10,2,0,Vaibhav Arora,1.4,0,12,0,Spencer Johnson,2.0,0,21,0,"Barsapara Cricket Stadium, Guwahati",19,27.19,7.86,31.52,150.0,31.18,138.86,31.4,9.39,20.0,31.4,9.39,20.0,8.67,1,0,0,180,0,0.74
1,RR,3,5,0,0,0,1,0,KKR,54.77,8.6,0,Samson,KKR,field first,Yashasvi Jaiswal,19,12,2,1,Unknown,0,0,0,0,Vaibhav Arora,1.5,0,12,1,Spencer Johnson,2.0,0,21,0,"Barsapara Cricket Stadium, Guwahati",19,27.19,7.86,31.52,150.0,0,0,31.4,9.39,20.0,31.4,9.39,20.0,8.67,1,0,0,172,0,0.78
1,RR,3,6,1,0,0,0,0,KKR,57.68,8.5,0,Unknown,KKR,field first,Riyan Parag,1,1,0,0,Yashasvi Jaiswal,19,12,2,1,Vaibhav Arora,1.6,0,13,1,Spencer Johnson,2.0,0,21,0,"Barsapara Cricket Stadium, Guwahati",19,27.19,7.86,24.02,135.28,31.52,150.0,31.4,9.39,20.0,31.4,9.39,20.0,8.67,1,0,0,170,0,0.63
1,RR,6,1,1,0,0,0,0,KKR,58.67,8.91,0,Unknown,KKR,field first,Riyan Parag,16,9,0,2,Yashasvi Jaiswal,25,17,2,2,Moeen Ali,0.1,0,1,0,Vaibhav Arora,3.0,0,26,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,24.02,135.28,31.52,150.0,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,178,0,0.67
1,RR,6,2,0,0,1,0,0,KKR,57.68,8.68,0,Unknown,KKR,field first,Yashasvi Jaiswal,25,18,2,2,Riyan Parag,16,9,0,2,Moeen Ali,0.2,0,1,0,Vaibhav Arora,3.0,0,26,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,31.52,150.0,24.02,135.28,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,174,0,0.61
1,RR,6,3,1,0,0,0,0,KKR,57.68,8.61,0,Unknown,KKR,field first,Yashasvi Jaiswal,26,19,2,2,Riyan Parag,16,9,0,2,Moeen Ali,0.3,0,2,0,Vaibhav Arora,3.0,0,26,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,31.52,150.0,24.02,135.28,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,172,0,0.6
1,RR,6,4,1,0,0,0,0,KKR,58.58,8.55,0,Unknown,KKR,field first,Riyan Parag,17,10,0,2,Yashasvi Jaiswal,26,19,2,2,Moeen Ali,0.4,0,3,0,Vaibhav Arora,3.0,0,26,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,24.02,135.28,31.52,150.0,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,171,0,0.68
1,RR,6,5,1,0,0,0,0,KKR,58.54,8.48,0,Unknown,KKR,field first,Yashasvi Jaiswal,27,20,2,2,Riyan Parag,17,10,0,2,Moeen Ali,0.5,0,4,0,Vaibhav Arora,3.0,0,26,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,31.52,150.0,24.02,135.28,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,170,0,0.61
1,RR,6,6,1,0,0,0,0,KKR,59.43,8.42,0,Unknown,KKR,field first,Riyan Parag,18,11,0,2,Yashasvi Jaiswal,27,20,2,2,Moeen Ali,0.6,0,5,0,Vaibhav Arora,3.0,0,26,1,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,24.02,135.28,31.52,150.0,23.4,7.03,19.9,23.4,7.03,19.9,9.33,1.0,0,1,0,168,0,0.64
1,RR,7,1,1,0,0,0,0,KKR,60.32,8.37,0,Unknown,KKR,field first,Riyan Parag,19,12,0,2,Yashasvi Jaiswal,27,20,2,2,Varun Chakravarthy,0.1,0,1,0,Moeen Ali,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.26,7.87,24.02,135.28,31.52,150.0,24.34,7.61,19.1,24.34,7.61,19.1,9.33,1.0,0,1,0,167,0,0.68
