match_id,innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,striker_batsman,winner,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate
1216492,1.0,MI,2,2.1,1.0,0.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),10.0,4.0,2.0,0.0,Quinton de Kock ,10.0,9.0,1.0,0.0,Deepak Chahar,1.0,0.0,13.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,28.84,7.98,21.6,32.75,9.65,20.3
1216492,1.0,MI,2,2.2,0.0,0.0,1.0,0.0,0.0,MI,59.23,Rohit Sharma,CSK,Chennai Super Kings,field first,Rohit Sharma (c),10.0,5.0,2.0,0.0,Quinton de Kock ,10.0,9.0,1.0,0.0,Deepak Chahar,1.0,0.0,13.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,28.84,7.98,21.6,32.75,9.65,20.3
1216492,1.0,MI,2,2.3,0.0,0.0,1.0,0.0,0.0,MI,59.23,Rohit Sharma,CSK,Chennai Super Kings,field first,Rohit Sharma (c),10.0,6.0,2.0,0.0,Quinton de Kock ,10.0,9.0,1.0,0.0,Deepak Chahar,1.0,0.0,13.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,28.84,7.98,21.6,32.75,9.65,20.3
1216492,1.0,MI,2,2.4,1.0,0.0,0.0,0.0,0.0,MI,59.23,Rohit Sharma,CSK,Chennai Super Kings,field first,Rohit Sharma (c),11.0,7.0,2.0,0.0,Quinton de Kock ,10.0,9.0,1.0,0.0,Deepak Chahar,1.0,0.0,14.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,28.84,7.98,21.6,32.75,9.65,20.3
1216492,1.0,MI,2,2.5,4.0,1.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),11.0,7.0,2.0,0.0,Quinton de Kock ,14.0,10.0,2.0,0.0,Deepak Chahar,1.0,0.0,18.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,28.84,7.98,21.6,32.75,9.65,20.3
1216492,1.0,MI,2,2.6,2.0,0.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),11.0,7.0,2.0,0.0,Quinton de Kock ,16.0,11.0,2.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,Sam Curran,1.0,0.0,7.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,28.84,7.98,21.6,32.75,9.65,20.3
1216492,1.0,MI,3,3.1,1.0,0.0,0.0,0.0,0.0,MI,59.23,Rohit Sharma,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,16.0,11.0,2.0,0.0,Lungi Ngidi,0.0,0.0,1.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
1216492,1.0,MI,3,3.2,4.0,1.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,20.0,12.0,3.0,0.0,Lungi Ngidi,0.0,0.0,5.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
1216492,1.0,MI,3,3.3,2.0,0.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,22.0,13.0,3.0,0.0,Lungi Ngidi,0.0,0.0,7.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
1216492,1.0,MI,3,3.4,4.0,1.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,27.0,14.0,4.0,0.0,Lungi Ngidi,0.0,0.0,12.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
1216492,1.0,MI,3,3.4,1.0,0.0,0.0,0.0,1.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,23.0,13.0,3.0,0.0,Lungi Ngidi,0.0,0.0,8.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
1216492,1.0,MI,3,3.5,4.0,1.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,32.0,15.0,5.0,0.0,Lungi Ngidi,0.0,0.0,17.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
1216492,1.0,MI,3,3.5,1.0,0.0,0.0,0.0,1.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,28.0,14.0,4.0,0.0,Lungi Ngidi,0.0,0.0,13.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
1216492,1.0,MI,3,3.6,1.0,0.0,0.0,0.0,0.0,MI,59.23,de Kock,CSK,Chennai Super Kings,field first,Rohit Sharma (c),12.0,8.0,2.0,0.0,Quinton de Kock ,33.0,16.0,5.0,0.0,Lungi Ngidi,1.0,0.0,18.0,0.0,Deepak Chahar,2.0,0.0,20.0,0.0,"Zayed Cricket Stadium, Abu Dhabi",194.0,23.93,7.62,29.72,131.14,31.25,134.22,17.92,8.29,12.9,28.84,7.98,21.6
