over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 19 • GT 130/10,Rahul Tewatia c Pooran b Yash Thakur 30 (25b 2x4 2x6 35m) SR: 120;W;Noor Ahmad c de Kock b Yash Thakur 4 (2b 1x4 0x6 2m) SR: 200;W;LSG won by 33 runs,LSG 100%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 1 • LSG 6/1,Quinton de Kock c Noor Ahmad b Yadav 6 (4b 0x4 1x6 2m) SR: 150;W;Live Forecast: LSG 162,GT 58.06%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 2 • LSG 14/1,Live Forecast: LSG 161,GT 59.15%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 3 • LSG 18/2,Devdutt Padikkal c Shankar b Yadav 7 (7b 1x4 0x6 11m) SR: 100;W;Live Forecast: LSG 156,GT 64.45%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 4 • LSG 31/2,Live Forecast: LSG 162,GT 58.06%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 5 • LSG 43/2,Live Forecast: LSG 176,LSG 57.54%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 6 • LSG 47/2,Live Forecast: LSG 173,LSG 54.23%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 7 • LSG 54/2,Live Forecast: LSG 170,LSG 50.87%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 8 • LSG 63/2,Live Forecast: LSG 170,LSG 50.87%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 9 • LSG 70/2,Live Forecast: LSG 169,GT 50.25%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 10 • LSG 74/2,Live Forecast: LSG 165,GT 54.74%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 11 • LSG 84/2,Live Forecast: LSG 165,GT 54.74%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 12 • LSG 88/2,Live Forecast: LSG 162,GT 58.06%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 13 • LSG 93/3,KL Rahul c Tewatia b Nalkande 33 (31b 3x4 0x6 60m) SR: 106.45;W;Live Forecast: LSG 157,GT 63.41%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 14 • LSG 98/3,Live Forecast: LSG 154,GT 66.48%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 15 • LSG 114/4,Marcus Stoinis c †Sharath b Nalkande 58 (43b 4x4 2x6 56m) SR: 134.88;W;Live Forecast: LSG 161,GT 59.15%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 16 • LSG 121/4,Live Forecast: LSG 159,GT 61.3%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 17 • LSG 126/4,Live Forecast: LSG 153,GT 67.48%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 18 • LSG 143/4,Live Forecast: LSG 163,GT 56.96%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 19 • LSG 155/5,Ayush Badoni c Yadav b Rashid Khan 20 (11b 3x4 0x6 15m) SR: 181.81;W;Live Forecast: LSG 166,GT 53.62%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 20 • LSG 163/5,Live Forecast: LSG 163,GT 56.96%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 1 • GT 5/0,GT needed 159 runs from 114 balls,GT 55.31%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 2 • GT 18/0,GT needed 146 runs from 108 balls,GT 63.48%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 3 • GT 22/0,GT needed 142 runs from 102 balls,GT 60.77%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 4 • GT 35/0,GT needed 129 runs from 96 balls,GT 72.39%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 5 • GT 47/0,GT needed 117 runs from 90 balls,GT 80.92%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 6 • GT 54/1,Shubman Gill b Yash Thakur 19 (21b 2x4 0x6 29m) SR: 90.47;W;GT needed 110 runs from 84 balls,GT 80.11%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 7 • GT 56/1,GT needed 108 runs from 78 balls,GT 66.53%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 8 • GT 58/2,Kane Williamson c & b Ravi Bishnoi 1 (5b 0x4 0x6 4m) SR: 20;W;GT needed 106 runs from 72 balls,LSG 50.23%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 9 • GT 61/4,Sai Sudharsan c Ravi Bishnoi b Pandya 31 (23b 4x4 0x6 39m) SR: 134.78;W;BR Sharath c Badoni b Pandya 2 (5b 0x4 0x6 7m) SR: 40;W;GT needed 103 runs from 66 balls,LSG 69.14%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 10 • GT 67/4,GT needed 97 runs from 60 balls,LSG 73.56%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 11 • GT 71/4,GT needed 93 runs from 54 balls,LSG 80.2%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 12 • GT 80/4,GT needed 84 runs from 48 balls,LSG 73.39%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 13 • GT 82/5,Darshan Nalkande c Yash Thakur b Pandya 12 (11b 0x4 1x6 12m) SR: 109.09;W;GT needed 82 runs from 42 balls,LSG 91.79%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 14 • GT 92/5,GT needed 72 runs from 36 balls,LSG 90.48%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
Over 15 • GT 93/7,Vijay Shankar c †Rahul b Yash Thakur 17 (17b 0x4 1x6 26m) SR: 100;W;Rashid Khan c sub (DJ Hooda) b Yash Thakur 0 (3b 0x4 0x6 2m) SR: 0;W;GT needed 71 runs from 30 balls,LSG 98.9%,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",44,12182,526,9895,23.15,7.38
