over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • MI 173/4,MI won by 6 wickets (with 0 balls remaining),MI 100%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 1 • DC 7/0,Live Forecast: DC 167,MI 50.48%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 2 • DC 19/0,Live Forecast: DC 172,DC 55.31%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 3 • DC 29/0,Live Forecast: DC 174,DC 57.6%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 4 • DC 34/1,Prithvi Shaw c Green b Shokeen 15 (10b 3x4 0x6 17m) SR: 150;W;Live Forecast: DC 174,DC 57.6%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 5 • DC 42/1,Live Forecast: DC 175,DC 58.73%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 6 • DC 51/1,Live Forecast: DC 174,DC 57.6%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 7 • DC 59/1,Live Forecast: DC 176,DC 59.85%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 8 • DC 75/1,Live Forecast: DC 201,DC 82.62%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 9 • DC 78/2,Manish Pandey c Behrendorff b Chawla 26 (18b 5x4 0x6 24m) SR: 144.44;W;Live Forecast: DC 193,DC 76.65%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 10 • DC 85/3,Yash Dhull c Wadhera b Meredith 2 (4b 0x4 0x6 7m) SR: 50;W;Live Forecast: DC 186,DC 70.35%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 11 • DC 88/4,Rovman Powell lbw b Chawla 4 (4b 1x4 0x6 6m) SR: 100;W;Live Forecast: DC 169,DC 51.84%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 12 • DC 95/4,Live Forecast: DC 167,MI 50.48%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
Over 13 • DC 103/5,Lalit Yadav b Chawla 2 (4b 0x4 0x6 10m) SR: 50;W;Live Forecast: DC 170,DC 53%,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
