over,innings,score,projected_score,required,CRR,RRR,fav_team,win_probability,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
18,SRH,145/2,N/A,N/A,8.06,N/A,SRH,100.0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
1,PBKS,9/1,172,N/A,9.00,N/A,PBKS,55.37,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
2,PBKS,14/2,165,N/A,7.00,N/A,SRH,52.77,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
3,PBKS,22/2,164,N/A,7.33,N/A,SRH,53.93,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
4,PBKS,22/3,157,N/A,5.50,N/A,SRH,61.85,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
5,PBKS,30/3,157,N/A,6.00,N/A,SRH,61.85,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
6,PBKS,41/3,167,N/A,6.83,N/A,SRH,50.44,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
7,PBKS,47/3,169,N/A,6.71,N/A,PBKS,51.89,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
8,PBKS,58/3,182,N/A,7.25,N/A,PBKS,66.41,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
9,PBKS,64/4,167,N/A,7.11,N/A,SRH,50.44,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
10,PBKS,73/5,166,N/A,7.30,N/A,SRH,51.6,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
11,PBKS,76/6,143,N/A,6.91,N/A,SRH,75.64,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
12,PBKS,77/7,117,N/A,6.42,N/A,SRH,91.14,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
13,PBKS,78/8,109,N/A,6.00,N/A,SRH,93.69,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
14,PBKS,83/8,113,N/A,5.93,N/A,SRH,92.52,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
15,PBKS,88/9,109,N/A,5.87,N/A,SRH,93.69,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",137,42629,1648,31325,25.86,8.16
