player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Anrich Nortje,bowler,46,46,,,,60,26.23,8.96,17.5
Axar Patel,bowler,150,148,,,,123,30.55,7.27,25.1
Mustafizur Rahman,bowler,57,57,,,,61,28.88,8.14,21.2
Mitchell Marsh,bowler,42,34,,,,37,21.48,8.51,15.1
Lalit Yadav,bowler,27,19,,,,10,42.50,8.85,28.8
Kuldeep Yadav,bowler,84,82,,,,87,27.44,8.20,20.0
