over,innings,score,projected_score,required,CRR,RRR,fav_team,win_probability,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
20,DC,188/6,N/A,N/A,9.40,N/A,SRH,100.0,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
1,SRH,8/0,165,N/A,8.00,N/A,SRH,50.82,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
2,SRH,21/0,171,N/A,10.50,N/A,SRH,57.67,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
3,SRH,28/1,172,N/A,9.33,N/A,SRH,58.79,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
4,SRH,42/1,181,N/A,10.50,N/A,SRH,68.31,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
5,SRH,46/2,176,N/A,9.20,N/A,SRH,63.15,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
6,SRH,62/2,194,N/A,10.33,N/A,SRH,79.58,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
7,SRH,71/2,190,N/A,10.14,N/A,SRH,76.47,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
8,SRH,76/2,192,N/A,9.50,N/A,SRH,78.06,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
9,SRH,83/2,184,N/A,9.22,N/A,SRH,71.2,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
10,SRH,83/4,170,N/A,8.30,N/A,SRH,56.54,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
11,SRH,107/4,192,N/A,9.73,N/A,SRH,78.06,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
12,SRH,109/5,187,N/A,9.08,N/A,SRH,73.92,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
13,SRH,120/5,188,N/A,9.23,N/A,SRH,74.79,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
14,SRH,126/5,183,N/A,9.00,N/A,SRH,70.25,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
15,SRH,135/5,184,N/A,9.00,N/A,SRH,71.2,"Arun Jaitley Stadium, Delhi",162,49144,1963,36878,25.03,7.99
