player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Akash Singh,bowler,7,7,,,,5,45.40,9.86,27.6
Tushar Deshpande,bowler,36,36,,,,42,29.59,9.64,18.4
Maheesh Theekshana,bowler,27,27,,,,25,31.88,7.66,24.9
Moeen Ali,bowler,67,52,,,,35,25.51,7.06,21.6
Ravindra Jadeja,bowler,240,211,,,,160,30.40,7.62,23.9
Matheesha Pathirana,bowler,20,20,,,,34,17.41,7.87,13.2
