player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Virat Kohli,batsman,252,244,,8004,6065,,,38.66,131.97
Faf du Plessis (c),batsman,145,138,,4571,3352,,,35.99,136.36
Glenn Maxwell,batsman,134,129,,2771,1768,,,24.74,156.73
Saurav Chauhan,batsman,3,3,,18,15,,,6.00,120.00
Cameron Green,batsman,29,28,,707,460,,,41.58,153.69
"Rajat Patidar,",batsman,27,24,,799,503,,,34.73,158.84
"Dinesh Karthik †,",batsman,257,234,,4842,3577,,,26.31,135.36
"Reece Topley,",batsman,5,1,,3,6,,,-,50.00
"Mayank Dagar,",batsman,8,1,,0,1,,,0.00,0.00
"Mohammed Siraj,",batsman,93,25,,109,119,,,10.90,91.59
Yash Dayal,batsman,28,1,,0,1,,,0.00,0.00
