over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • RR 152/7,RR won by 3 wickets (with 1 ball remaining),RR 100%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 1 • PBKS 4/0,Live Forecast: PBKS 170,RR 53.53%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 2 • PBKS 17/0,Live Forecast: PBKS 175,PBKS 52.06%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 3 • PBKS 26/0,Live Forecast: PBKS 175,PBKS 52.06%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 4 • PBKS 28/1,Atharva Taide c Sen b Avesh Khan 15 (12b 2x4 0x6 19m) SR: 125;W;Live Forecast: PBKS 172,RR 51.3%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 5 • PBKS 31/1,Live Forecast: PBKS 159,RR 65.29%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 6 • PBKS 38/1,Live Forecast: PBKS 158,RR 66.28%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 7 • PBKS 42/2,Prabhsimran Singh c Jurel b Chahal 10 (14b 1x4 0x6 13m) SR: 71.42;W;Live Forecast: PBKS 157,RR 67.27%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 8 • PBKS 47/3,Jonny Bairstow c Hetmyer b Maharaj 15 (19b 1x4 0x6 39m) SR: 78.94;W;Live Forecast: PBKS 156,RR 68.23%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 9 • PBKS 50/3,Live Forecast: PBKS 149,RR 74.52%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 10 • PBKS 53/4,Sam Curran c Jurel b Maharaj 6 (10b 0x4 0x6 12m) SR: 60;W;Live Forecast: PBKS 146,RR 76.94%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 11 • PBKS 58/4,Live Forecast: PBKS 141,RR 80.59%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 12 • PBKS 70/4,Live Forecast: PBKS 153,RR 71.04%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 13 • PBKS 72/5,Shashank Singh c Jurel b Sen 9 (9b 1x4 0x6 12m) SR: 100;W;Live Forecast: PBKS 139,RR 81.92%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 14 • PBKS 75/5,Live Forecast: PBKS 132,RR 86%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 15 • PBKS 86/5,Live Forecast: PBKS 136,RR 83.78%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 16 • PBKS 103/5,Live Forecast: PBKS 143,RR 79.19%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 17 • PBKS 111/6,Jitesh Sharma c Parag b Avesh Khan 29 (24b 1x4 2x6 35m) SR: 120.83;W;Live Forecast: PBKS 144,RR 78.46%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 18 • PBKS 123/7,Liam Livingstone run out (Kotian/†Samson) 21 (14b 2x4 1x6 25m) SR: 150;W;Live Forecast: PBKS 143,RR 79.19%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 19 • PBKS 141/7,Live Forecast: PBKS 153,RR 71.04%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 20 • PBKS 147/8,Ashutosh Sharma c Maharaj b Boult 31 (16b 1x4 3x6 20m) SR: 193.75;W;Live Forecast: PBKS 147,RR 76.15%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 1 • RR 9/0,RR needed 139 runs from 114 balls,RR 79.94%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 2 • RR 14/0,RR needed 134 runs from 108 balls,RR 79.93%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 3 • RR 16/0,RR needed 132 runs from 102 balls,RR 75.44%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 4 • RR 29/0,RR needed 119 runs from 96 balls,RR 80.62%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 5 • RR 36/0,RR needed 112 runs from 90 balls,RR 85.97%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 6 • RR 43/0,RR needed 105 runs from 84 balls,RR 89.97%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 7 • RR 49/0,RR needed 99 runs from 78 balls,RR 82.75%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 8 • RR 56/0,RR needed 92 runs from 72 balls,RR 89.08%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 9 • RR 58/1,Tanush Kotian b Livingstone 24 (31b 3x4 0x6 38m) SR: 77.41;W;RR needed 90 runs from 66 balls,RR 80.56%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 10 • RR 66/1,RR needed 82 runs from 60 balls,RR 87.22%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 11 • RR 79/1,RR needed 69 runs from 54 balls,RR 94.45%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 12 • RR 83/2,Yashasvi Jaiswal c Patel b Rabada 39 (28b 4x4 0x6 52m) SR: 139.28;W;RR needed 65 runs from 48 balls,RR 90.78%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
Over 13 • RR 88/2,RR needed 60 runs from 42 balls,RR 88.91%,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,7734,375,6087,20.62,7.62
