over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 20 • KKR 207/7,KKR won by 3 wickets (with 0 balls remaining),KKR 100%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 1 • GT 4/0,Live Forecast: GT 155,KKR 61.1%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 2 • GT 17/0,Live Forecast: GT 159,KKR 56.59%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 3 • GT 24/0,Live Forecast: GT 159,KKR 56.59%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 4 • GT 31/0,Live Forecast: GT 163,KKR 51.97%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 5 • GT 38/1,Wriddhiman Saha c Jagadeesan b Narine 17 (17b 3x4 0x6 24m) SR: 100;W;Live Forecast: GT 163,KKR 51.97%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 6 • GT 54/1,Live Forecast: GT 180,GT 67.04%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 7 • GT 62/1,Live Forecast: GT 184,GT 70.99%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 8 • GT 68/1,Live Forecast: GT 190,GT 76.35%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 9 • GT 79/1,Live Forecast: GT 182,GT 69.05%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 10 • GT 88/1,Live Forecast: GT 189,GT 75.51%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 11 • GT 91/1,Live Forecast: GT 177,GT 63.91%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 12 • GT 101/2,Shubman Gill c Yadav b Narine 39 (31b 5x4 0x6 55m) SR: 125.8;W;Live Forecast: GT 183,GT 70.03%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 13 • GT 115/2,Live Forecast: GT 188,GT 74.64%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 14 • GT 123/3,Abhinav Manohar b Suyash Sharma 14 (8b 3x4 0x6 13m) SR: 175;W;Live Forecast: GT 184,GT 70.99%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 15 • GT 132/3,Live Forecast: GT 181,GT 68.06%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 16 • GT 144/3,Live Forecast: GT 186,GT 72.86%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 17 • GT 151/3,Live Forecast: GT 183,GT 70.03%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 18 • GT 159/4,Sai Sudharsan c sub (AS Roy) b Narine 53 (38b 3x4 2x6 64m) SR: 139.47;W;Live Forecast: GT 182,GT 69.05%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 19 • GT 184/4,Live Forecast: GT 196,GT 80.97%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 20 • GT 204/4,Live Forecast: GT 204,GT 86%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 1 • KKR 2/0,KKR needed 203 runs from 114 balls,GT 88.81%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 2 • KKR 14/0,KKR needed 191 runs from 108 balls,GT 86.7%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 3 • KKR 26/1,Rahmanullah Gurbaz c Yash Dayal b Mohammed Shami 15 (12b 1x4 1x6 13m) SR: 125;W;KKR needed 179 runs from 102 balls,GT 88.21%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 4 • KKR 28/2,Narayan Jagadeesan c Manohar b Little 6 (8b 1x4 0x6 21m) SR: 75;W;KKR needed 177 runs from 96 balls,GT 92.89%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
Over 5 • KKR 37/2,KKR needed 168 runs from 90 balls,GT 92.86%,"Narendra Modi Stadium, Ahmedabad",67,20964,811,15189,25.84,8.28
