player_name,player_role,matches,innings,overs,maidens,runs_conceded,wickets,average,economy,strike_rate
Sandeep Sharma,bowler,127,126,,,,137,27.07,7.88,20.5
Adam Zampa,bowler,20,20,,,,29,19.24,7.99,14.4
Yuzvendra Chahal,bowler,160,159,,,,205,22.44,7.84,17.1
Ravichandran Ashwin,bowler,212,208,,,,180,29.82,7.12,25.1
KM Asif,bowler,7,7,,,,7,33.00,10.42,19.0
