batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
DC,19,19.6,1,0,0,0,0,Axar Patel,Stubbs,45,23,2,3,Axar Patel,17,13,1,0,Avesh Khan,4.0,0,29,1,Sandeep,4.0,0,36,0
DC,19,19.5,0,0,1,0,0,Axar Patel,Stubbs,45,23,2,3,Axar Patel,16,12,1,0,Avesh Khan,3.0,0,28,1,Sandeep,4.0,0,36,0
DC,19,19.4,1,0,0,0,0,Stubbs,Stubbs,45,23,2,3,Axar Patel,16,11,1,0,Avesh Khan,3.0,0,28,1,Sandeep,4.0,0,36,0
DC,19,19.3,1,0,0,0,0,Axar Patel,Stubbs,44,22,2,3,Axar Patel,16,11,1,0,Avesh Khan,3.0,0,27,1,Sandeep,4.0,0,36,0
DC,19,19.2,0,0,1,0,0,Axar Patel,Stubbs,44,22,2,3,Axar Patel,15,10,1,0,Avesh Khan,3.0,0,26,1,Sandeep,4.0,0,36,0
DC,19,19.1,1,0,0,0,0,Stubbs,Stubbs,44,22,2,3,Axar Patel,15,9,1,0,Avesh Khan,3.0,0,26,1,Sandeep,4.0,0,36,0
DC,18,18.6,2,0,0,0,0,Axar Patel,Stubbs,43,21,2,3,Axar Patel,15,9,1,0,Sandeep,4.0,0,36,0,Avesh Khan,3.0,0,25,1
DC,18,18.5,1,0,0,0,0,Stubbs,Stubbs,43,21,2,3,Axar Patel,13,8,1,0,Sandeep,3.0,0,34,0,Avesh Khan,3.0,0,25,1
DC,18,18.4,1,0,0,0,0,Axar Patel,Stubbs,42,20,2,3,Axar Patel,13,8,1,0,Sandeep,3.0,0,33,0,Avesh Khan,3.0,0,25,1
DC,18,18.3,1,0,0,0,0,Stubbs,Stubbs,42,20,2,3,Axar Patel,12,7,1,0,Sandeep,3.0,0,32,0,Avesh Khan,3.0,0,25,1
DC,18,18.2,4,1,0,0,0,Stubbs,Stubbs,41,19,2,3,Axar Patel,12,7,1,0,Sandeep,3.0,0,31,0,Avesh Khan,3.0,0,25,1
